web-scraper-order,web-scraper-start-url,title,price,availability
"1611951121-1201","https://www.emag.ro/laptopuri/filter/tip-placa-video-f7895,dedicata-v-2754/p1/c","Laptop HP ProBook 450 G7 cu procesor Intel® Core™i5-10210U pana la 4.20 GHz Comet Lake, 15.6"", Full HD, 8GB, 256 SSD PCIe NVMe, Nvidia GeForce MX130 2GB, Free Dos","3.599<sup>99</sup> <span>Lei</span>","în stoc"
"1611951098-909","https://www.emag.ro/laptopuri/filter/tip-placa-video-f7895,dedicata-v-2754/p5/c","Laptop ASUS GX501GI-EI013T, 15.6 inch FHD (1920 X 1080), 8 GB DDR4, 512 GB SSD, Intel Core i7-8750H, NVIDIA GeForce GTX1080, ASUS GX501GI-EI013T","14.904<sup>41</sup> <span>Lei</span>","în stoc"
"1611951098-903","https://www.emag.ro/laptopuri/filter/tip-placa-video-f7895,dedicata-v-2754/p5/c","Laptop Lenovo IdeaPad L340, 15.6"", i5 9300H (pana la 4,1 GHz), 8 GB RAM DDR4, 512 GB SSD, NVIDIA GeForce GTX 1650 Ti 4GB, Windows 10 Home, Black","5.999<sup>94</sup> <span>Lei</span>","ultimul produs in stoc"
"1611951110-1043","https://www.emag.ro/laptopuri/filter/tip-placa-video-f7895,dedicata-v-2754/p3/c","Laptop Gaming OMEN by HP 17-cb1002nq cu procesor Intel® Core™ i7-10750H pana la 5.00 GHz Comet Lake, 17.3"", Full HD, IPS, 144Hz, 16GB, 256GB SSD + 1TB HDD, NVIDIA® GeForce RTX™ 2060 6GB, Free DOS, Black","6.499<sup>99</sup> <span>Lei</span>","ultimul produs in stoc"
"1611951080-766","https://www.emag.ro/laptopuri/filter/tip-placa-video-f7895,dedicata-v-2754/p8/c","Laptop Gaming OMEN by HP 15-dh0014nq cu procesor Intel® Core™ i7-9750H pana la 4.50 GHz Coffee Lake, 15.6"", Full HD, G-Sync, 144HZ, 32GB, 1TB HDD + 512GB SSD, Nvidia GeForce RTX 2080 8GB Max Q, Free DOS, Shadow Black","9.999<sup>99</sup> <span>Lei</span>","stoc epuizat"
"1611951104-1007","https://www.emag.ro/laptopuri/filter/tip-placa-video-f7895,dedicata-v-2754/p4/c","Laptop Gaming Lenovo Legion C7 15IMH05 cu procesor Intel Core i7-10750H pana la 5.00 GHz, 15.6"", Full HD, 144Hz, 32GB, 1TB SSD, NVIDIA GeForce RTX 2070 Max-Q 8GB, Free DOS, Dark Moss","9.799<sup>99</sup> <span>Lei</span>","în stoc"
"1611951092-893","https://www.emag.ro/laptopuri/filter/tip-placa-video-f7895,dedicata-v-2754/p6/c","Laptop Clevo Dream Machines G1660Ti i7 17.3” 144Hz/GTX1660Ti/1TB M.2 SSD/16 GB","6.699<sup>00</sup> <span>Lei</span>","în stoc"
"1611951092-889","https://www.emag.ro/laptopuri/filter/tip-placa-video-f7895,dedicata-v-2754/p6/c","Laptop Gaming ASUS ROG Strix Hero III cu processor Intel® Core™ i7-9750H pana la 4.50 GHz Coffee Lake, 15.6"", Full HD, 144Hz, 8GB, 512GB SSD, NVIDIA® GeForce RTX™ 2060 6GB, Free DOS, Midnight Black","7.136<sup>43</sup> <span>Lei</span>","ultimul produs in stoc"
"1611951115-1091","https://www.emag.ro/laptopuri/filter/tip-placa-video-f7895,dedicata-v-2754/p2/c","Laptop Gaming Acer Predator Helios 300 PH315-53 cu procesor Intel Core i5-10300H pana la 4.50 GHz, 15.6”, Full HD, 144Hz, 16GB, 512GB SSD, NVIDIA GeForce RTX2060 6GB, Windows 10 Home, Black","6.199<sup>99</sup> <span>Lei</span>","în stoc"
"1611951098-908","https://www.emag.ro/laptopuri/filter/tip-placa-video-f7895,dedicata-v-2754/p5/c","Laptop HP ZBook 17 G6 cu procesor Intel® Core™ i7-9850H pana la 4.60 GHz Coffee Lake, 17.3"", Full HD, 32GB, 512GB SSD, NVIDIA Quadro RTX 5000 16GB, Windows 10 Pro Black","21.499<sup>99</sup> <span>Lei</span>","ultimul produs in stoc"
