web-scraper-order,web-scraper-start-url,title,price,availability
"1612022389-41","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","Laptop Dell Latitude 7310, Intel® Core™ i5-10310U, 8GB DDR4, SSD 256GB, Intel&#","6.499,90 lei","In stoc - exclusiv online"
"1612022394-99","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Lenovo IdeaPad 3 15ADA05, AMD Athlon™ Silver 3050U, 4GB DDR4, SSD 128GB, AMD","1.599,99 lei","In stoc"
"1612022389-52","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","Laptop Gaming Asus TUF F15 FX506LI-HN108, Intel® Core™ i7-10870H, 8GB DDR4, SSD","4.849,90 lei","In stoc - exclusiv online"
"1612022389-31","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","Laptop ultraportabil Huawei MateBook D14 2020, AMD Ryzen™ 7 3700U, 8GB DDR4, SSD 512","3.599,99 lei","In stoc"
"1612022392-96","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","Laptop Gaming HP Pavilion 15-ec0053nq, AMD Ryzen™ 5 3550H, 16GB DDR4, HDD 1TB + SSD","4.299,99 lei","In stoc"
"1612022392-67","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","Laptop Lenovo IdeaPad 3 15ADA05, AMD Ryzen™ 3 3250U, 4GB DDR4, SSD 256GB, AMD Radeon","2.099,99 lei","In stoc"
"1612022385-15","https://www.flanco.ro/laptop-it-tablete/laptop/p/4.html","Laptop HP ProBook 430 G7, Intel® Core™ i7-10510U, 16GB DDR4, SSD 256GB, Intel&#","6.799,99 lei","Stoc limitat"
"1612022392-86","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","Laptop Gaming Acer Nitro 5 AN515-44, AMD Ryzen™ 5 4600H, 8GB DDR4, SSD 512GB, NVIDIA","4.499,99 lei","In stoc"
"1612022394-129","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop HP 14-dk1002nq, AMD Ryzen™ 3 3250U, 8GB DDR4, SSD 256GB, AMD Radeon™ Ve","2.899,99 lei","In stoc"
"1612022389-26","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","Laptop Asus M509DA-EJ280, AMD Ryzen™ 7 3700U, 8GB DDR4, HDD 1TB, AMD Radeon™ R","2.899,99 lei","In stoc"
"1612022389-46","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","Laptop Asus ZenBook 13 UX325EA-EG109, Intel® Core™ i5-1135G7, 8GB LPDDR4X, SSD","4.499,99 lei","In stoc"
"1612022392-95","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","Laptop Gaming Asus TUF F15 FX506LI-BQ104, Intel® Core™ i7-10870H, 16GB DDR4, SS","5.299,99 lei","In stoc"
"1612022392-84","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","Laptop Asus Business P2451FB-EB0037R, Intel® Core™ i7-10510U, 16GB DDR4, SSD 51","6.148,90 lei","In stoc - exclusiv online"
"1612022394-125","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop HP 15-dw2013ny, Intel® Core™ i5-1035G1, 8GB DDR4, HDD 1TB, NVIDIA GeForc","3.499,00 lei","In stoc"
"1612022394-132","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Dell Latitude 5410, Intel® Core™ i5-10210U, 8GB DDR4, SSD 512GB, Intel&#","4.899,99 lei","In stoc"
"1612022394-128","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Acer Swift 3 SF314-57G, Intel® Core™ i5-1035G1, 8GB LPDDR4, SSD 512GB, N","4.499,90 lei","In stoc - exclusiv online"
"1612022392-90","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","Laptop Asus VivoBook S14 M433IA-EB203, AMD Ryzen™ 5 4500U, 8GB DDR4, SSD 512GB, AM","3.999,99 lei","In stoc"
"1612022385-23","https://www.flanco.ro/laptop-it-tablete/laptop/p/4.html","Laptop Gaming Asus TUF Dash F15 FX516PR-AZ019, Intel® Core™ i7-11370H, 16GB DDR","7.999,99 lei","Stoc limitat"
"1612022394-106","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Asus E410MA-EB268, Intel® Celeron® N4020, 4GB DDR4, SSD 256GB, Intel®","1.699,99 lei","In stoc"
"1612022385-5","https://www.flanco.ro/laptop-it-tablete/laptop/p/4.html","Laptop Gaming HP 15-dh0021nq, Procesor Intel® Core™ i9-9880H, 16GB DDR4, SSD 1T","10.999,99 lei","Stoc limitat"
"1612022389-57","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","Laptop Asus M509DA-EJ382, AMD Ryzen™ 3 3250U, 4GB DDR4, SSD 256GB, AMD Radeon™","2.399,99 lei","Stoc limitat"
"1612022385-13","https://www.flanco.ro/laptop-it-tablete/laptop/p/4.html","Laptop 2-in-1 Dell Latitude 5310, Intel® Core™ i5-10310U, 16GB DDR4, SSD 512GB,","6.499,90 lei","In stoc - exclusiv online"
"1612022392-93","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","Laptop Gaming Asus ROG Strix SCAR 15 G532LV-AZ041, Intel® Core™ i7-10875H, 16GB","8.300,90 lei","In stoc - exclusiv online"
"1612022389-44","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","Laptop Lenovo ThinkPad X1 Carbon, Intel® Core™ i5-8265U, 8GB LPDDR3, SSD 256GB,","8.000,90 lei","In stoc - exclusiv online"
"1612022389-58","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","Ultrabook Dell XPS 13 7390, Intel® Core™ i7-10510U, 16GB LPDDR3, SSD 512GB, Int","9.501,90 lei","In stoc - exclusiv online"
"1612022392-88","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","Laptop ultraportabil Asus E210MA-GJ003TS, Intel® Celeron® N4020, 4GB DDR4, eMMC","1.699,99 lei","In stoc"
"1612022394-127","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Dell Inspiron 3793, Intel® Core™ i3-1005G1, 8GB DDR4, SSD 256GB, Intel&#","2.799,99 lei","In stoc"
"1612022394-119","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Lenovo ThinkBook 15 G2 ARE, AMD Ryzen™ 3 4300U, 8GB DDR4, SSD 256GB, AMD Rade","2.913,90 lei","In stoc - exclusiv online"
"1612022394-111","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Apple MacBook Air 13 cu procesor Intel® Dual Core™ i5 1.80GHz, 13.3""","4.399,00 lei","In stoc"
"1612022389-42","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","Laptop Lenovo ThinkPad T15 Gen 1, Intel® Core™ i5-10210U, 8GB DDR4, SSD 256GB,","7.453,90 lei","In stoc - exclusiv online"
"1612022389-51","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","Laptop Dell Latitude 5411, Intel® Core™ i5-10400H, 8GB DDR4, SSD 256GB, NVIDIA","4.999,99 lei","Stoc limitat"
"1612022392-87","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","Laptop HP 15-db1021nq, AMD Ryzen™ 3 3200U, 8GB DDR4, SSD 512GB, AMD Radeon™ Ve","2.999,99 lei","In stoc"
"1612022394-98","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Asus X515MA-BR037, Intel® Celeron® N4020, 4GB DDR4, SSD 256GB, Intel®","1.799,99 lei","In stoc"
"1612022392-91","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","Laptop Asus ZenBook 14 UM433IQ-A5024T, AMD Ryzen 5™ 4500U, 8GB LPDDR4X, SSD 512GB, N","4.749,90 lei","In stoc - exclusiv online"
"1612022389-54","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","Laptop Gaming Lenovo Legion 7 15IMHg05, Intel® Core™ i7-10875H, 16GB DDR4, SSD","8.100,90 lei","In stoc - exclusiv online"
"1612022389-32","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","Laptop Lenovo IdeaPad Creator 5 15IMH05, Intel® Core™ i5-10300H, 16GB DDR4, HDD","4.900,90 lei","In stoc - exclusiv online"
"1612022394-108","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop HP 15-db1100ny, AMD Ryzen™ 5 3500U, 4GB DDR4, HDD 1TB, AMD Radeon™ Vega","2.399,99 lei","In stoc"
"1612022392-66","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","Laptop Dell Latitude 5410, Intel® Core™ i7-10610U, 8GB DDR4, SSD 256GB, Intel&#","5.199,99 lei","In stoc"
"1612022385-4","https://www.flanco.ro/laptop-it-tablete/laptop/p/4.html","Laptop Apple MacBook Pro 16 Touch Bar, Intel® Core™ i9, 16GB DDR4, SSD 1TB, AMD","14.999,99 lei","Stoc limitat"
"1612022385-8","https://www.flanco.ro/laptop-it-tablete/laptop/p/4.html","Laptop HP 15-db1000nq, AMD Ryzen™ 3 3200U, 4GB DDR4, HDD 1TB, AMD Radeon™ Vega","1.999,99 lei","Stoc limitat"
"1612022394-107","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop HP 15z-db100, AMD Ryzen™ 7 3700U, 8GB DDR4, HDD 1TB, AMD Radeon™ Vega 1","2.899,99 lei","In stoc"
"1612022394-110","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Acer One 14, Intel® Pentium® Gold 4415U, 4GB RAM, HDD 1TB, Intel® HD","2.299,99 lei","In stoc"
"1612022385-3","https://www.flanco.ro/laptop-it-tablete/laptop/p/4.html","Laptop Apple MacBook Pro 16 Touch Bar, Intel® Core™ i9, 16GB DDR4, SSD 1TB, AMD","14.999,99 lei","Stoc limitat"
"1612022394-100","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Gaming Lenovo IdeaPad 3 15ARH05, AMD Ryzen™ 5 4600H, 8GB DDR4, SSD 256GB, NVI","3.699,99 lei","In stoc"
"1612022392-77","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","Laptop Lenovo ThinkPad E15, Intel® Core™ i5-10210U, 8GB DDR4, HDD 1TB, AMD Rade","3.699,99 lei","In stoc"
"1612022392-82","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","Laptop Lenovo ThinkPad T490s, Intel® Core™ i5-8265U, 8GB DDR4, SSD 512GB, Intel","7.621,90 lei","In stoc - exclusiv online"
"1612022394-103","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop HP 14s-fq0027nq, AMD 3020e, 4GB DDR4, SSD 128GB, AMD Radeon™ Graphics, Window","1.999,99 lei","In stoc"
"1612022394-124","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Gaming Asus TUF Gaming F15 FX506LU-HN121, Intel® Core™ i7-10870H, 8GB DD","5.370,90 lei","In stoc - exclusiv online"
