web-scraper-order,web-scraper-start-url,title,price,availability
"1612387617-1928","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:14","Laptop HP EliteBook 830 G6 (Procesor Intel® Core™ i7-8565U (8M Cache, up to 4.60 GHz), Whiskey Lake, 13.3"" FHD, 8GB, 256GB SSD, Intel® UHD Graphics 620, Win10 Pro, Argintiu)","6.499,99 Lei","Stoc epuizat"
"1612387606-1811","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:17","Laptop HP ProBook 470 G7 (Procesor Intel® Core™ i7-10510U (8M Cache, up to 4.90 GHz), Comet Lake, 17.3"" FHD, 16GB, 512GB SSD, AMD Radeon 530 @2GB, Win10 Pro, Argintiu)","4.799,99 Lei","Stoc epuizat"
"1612387598-1698","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:19","Laptop Gaming Lenovo Legion 5 (Procesor Intel® Core™ i5-10300H (8M Cache, up to 4.50 GHz), Comet Lake, 15.6"" FHD, 8GB, 256GB SSD, nVidia GeForce GTX 1650 @4GB, Negru)","4.066,99 Lei","Stoc epuizat"
"1612387664-2559","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:1","Laptop Lenovo V15 (Procesor AMD Ryzen 5 3500U (4M Cache, up to 3.70 GHz), 15.6"" FHD, 8GB, 256GB SSD, AMD Radeon™ Graphics, Gri)","2.799,00 Lei","In stoc magazin"
"1612387653-2410","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:4","Laptopuri Toshiba Portege A30-E-149 (Procesor Intel® Core™ i5-8250U (6M Cache, up to 3.40 GHz), Kaby Lake R, 13.3"" FHD, 8GB, 256GB SSD, Intel® UHD Graphics 620, Win10 Pro, Negru)","4.799,99 Lei","In stoc (exclusiv online)"
"1612387650-2367","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:5","Nou! Laptop Gaming Dell Inspiron G5 5500 (Procesor Intel® Core™ i7-10750H (12MB Cache, up to 5.0 GHz, 6 cores), Comet Lake, 15.6"" FHD 120Hz, 16GB, 512GB SSD, nVidia GeForce GTX 1650Ti @4GB, Win10 Home, Negru)","6.199,99 Lei","Intreaba stoc"
"1612387577-1382","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:26","Nou! Laptop Asus ExpertBook P2451FA-EK1098 (Procesor Intel® Core™ i3-10110U (4M Cache, up to 4.10 GHz) 14"" FHD, 8GB, 256GB SSD, Intel® UHD Graphics, FPR, Endless OS, Negru)","2.640,99 Lei","In stoc (exclusiv online)"
"1612387635-2188","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:9","Laptop Gaming HP Omen 15-dh0015nq (Procesor Intel® Core™ i7-9750H (12M Cache, up to 4.50 GHz), Coffee Lake, 15.6"" FHD, 16GB, 1TB HDD @7200RPM + 256GB SSD, nVidia GeForce RTX 2060 @6GB, Negru)","7.599,99 Lei","Stoc epuizat"
"1612387639-2215","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:8","Laptop MSI WS66 10TK (Procesor Intel® Core™ i7-10875H (16M Cache, up to 5.10 GHz), Comet Lake, 15.6"" UHD, 16GB, 512GB SSD, nVidia Quadro RTX 3000 @6GB, Win10 Home, Gri)","13.799,99 Lei","Stoc epuizat"
"1612387614-1894","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:15","Laptop HP 250 G7 (Procesor Intel® Core™ i7-8565U (8M Cache, up to 4.60 GHz), Whiskey Lake, 15.6"" FHD, 8GB, 256GB SSD, Intel® UHD Graphics 620, Win10 Pro, Argintiu)","3.899,99 Lei","Stoc epuizat"
"1612387650-2380","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:5","Laptop Apple MacBook Pro (Procesor Intel® Quad-Core™ i7 (6M Cache, 2.5GHz up to 3.70 GHz), 15.4"" Retina, 16GB, 512GB Flash, AMD Radeon R9 M370X@2GB, Wireless AC, Mac OS X Yosemite, Layout Int)","12.399,99 Lei","Intreaba stoc"
"1612387643-2290","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:7","Laptop Gaming Asus TUF FX705DT-AU027 (Procesor AMD Ryzen 7 3750H (6M Cache, up to 4.00 GHz), 17.3"" FHD, 8GB, 512GB SSD, nVidia GeForce GTX 1650 @4GB, Negru)","3.571,99 Lei","Stoc epuizat"
"1612387660-2546","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:2","Laptop Lenovo ThinkPad T15 (Procesor Intel® Core™ i7-10510U (8M Cache, up to 4.90 GHz), Comet Lake, 15.6"" FHD, 16GB, 512GB SSD, Intel® UHD Graphics, Win10 Pro, Negru)","9.399,99 Lei","In stoc (exclusiv online)"
"1612387602-1755","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:18","Laptop Dell Vostro 5590 (Procesor Intel® Core™ i7-10510U (8M Cache, up to 4.90 GHz), Comet Lake, 15.6"" FHD, 8GB, 512GB SSD, nVidia GeForce MX250 @2GB, Win10 Pro, Gri)","5.199,99 Lei","Stoc epuizat"
"1612387646-2321","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:6","Laptop Dell Inspiron 5402 (Procesor Intel® Core™ i3-1115G4 (6M Cache, up to 4.10 GHz), Tiger Lake, 14"" FHD, 4GB, 256GB SSD, Intel® UHD Graphics, Win10 Home, Argintiu)","3.099,99 Lei","Stoc epuizat"
"1612387628-2074","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:11","Laptop Prestigio SmartBook 141 C4 (Procesor AMD A4-9120 (1M Cache, up to 2.50 GHz), 14.1"" FHD, 4GB, 64GB eMMC, AMD Radeon R3, Win10 Pro, Argintiu)","969,99 Lei","Stoc epuizat"
"1612387617-1961","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:14","Laptop Dell Inspiron 3793 (Procesor Intel® Core™ i5-1035G1 (8M Cache, up to 3.90 GHz), Ice Lake, 17.3"" FHD, 8GB, 256GB SSD, nVidia GeForce MX230 @2GB, Linux, Negru)","3.399,99 Lei","Stoc epuizat"
"1612387579-1409","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:25","Laptop Gaming Asus ROG Zephyrus G14 GA401IV-HA188T (Procesor AMD Ryzen 9 4900HS (8M Cache, up to 4.40 GHz), 14"" QHD, 16GB, 1TB SSD, nVidia GeForce RTX 2060 @6GB, Win10 Home, Gri)","9.299,99 Lei","Stoc epuizat"
"1612387614-1898","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:15","Laptop Fujitsu LIFEBOOK E8310","7.099,99 Lei","Stoc epuizat"
"1612387660-2520","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:2","Nou! Laptop HP EliteBook 845 G7 (Procesor AMD Ryzen 5 PRO 4650U (8M Cache, up to 4.00 GHz), 14"" FHD, 8GB, 256GB SSD, AMD Radeon Graphics, FPR, Win10 Pro, Argintiu)","4.999,00 Lei","In stoc magazin"
"1612387589-1599","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:21","Laptop HP ProBook 470 G5 (Procesor Intel® Core™ i7-8550U (8M Cache, up to 4.00 GHz), Kaby Lake R, 17.3"" FHD, 8GB, 256GB SSD, nVidia GeForce 930MX @2GB, Win10 Pro, FPR, Argintiu)","5.099,99 Lei","Stoc epuizat"
"1612387610-1854","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:16","Laptop Apple The New MacBook Pro 15 Retina (Procesor Intel® Core™ i7 (6M Cache, up to 2.80 GHz), Kaby Lake, 15.4"", Retina, Touch Bar, 16GB, 256GB SSD, AMD Radeon Pro 555@2GB, Mac OS Sierra, Layout RO, Silver)","14.499,99 Lei","Stoc epuizat"
"1612387582-1451","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:24","Laptop HP ProBook 440 G7 (Procesor Intel® Core™ i7-10510U (8M Cache, up to 4.90 GHz), Comet Lake, 14"" FHD, 16GB, 512GB SSD, Intel® UHD Graphics, Win10 Pro, FPR, Argintiu)","4.871,99 Lei","In stoc (exclusiv online)"
"1612387657-2470","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:3","Laptop Lenovo ThinkPad T15 (Procesor Intel® Core™ i5-10210U (6M Cache, up to 4.20 GHz), Comet Lake, 15.6"" FHD, 8GB, 256GB SSD, Intel® UHD Graphics, Win10 Pro, Negru)","6.999,99 Lei","In stoc (exclusiv online)"
"1612387628-2091","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:11","Laptop Lenovo ThinkPad T590 (Procesor Intel® Core™ i7-8565U (8M Cache, up to 4.60 GHz), Whiskey Lake, 15.6"" FHD, 16GB, 1TB SSD, Intel® UHD Graphics 620, 4G, FPR, Win10 Pro, Negru)","9.299,99 Lei","Stoc epuizat"
"1612387650-2382","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:5","Laptop Microsoft Surface Notebook (Procesor Intel® Core™ i5-7300U (3M Cache, up to 3.50 GHz), Kaby Lake, 13.5""HD, 8GB, 256GB SSD, Intel HD Graphics 620, Win10S)","9.599,99 Lei","Intreaba stoc"
"1612387624-2038","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:12","Laptop Gaming Lenovo Legion 5 (Procesor Intel® Core™ i7-10750H (12M Cache, up to 5.00 GHz), Comet Lake, 17.3"" FHD, 16GB, 512GB SSD, nVidia GeForce GTX 1650 @4GB, Negru)","5.348,99 Lei","Stoc epuizat"
"1612387643-2298","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:7","Laptop HP ProBook 470 G7 (Procesor Intel® Core™ i5-10210U (6M Cache, up to 4.20 GHz), Comet Lake, 17.3"" FHD, 8GB, 512GB SSD, AMD Radeon 530 @2GB, Win10 Pro, Argintiu)","3.699,99 Lei","Stoc epuizat"
"1612387635-2175","https://www.evomag.ro/portabile-laptopuri-notebook/filtru/pagina:9","Laptop Gaming Dell Inspiron G3 3500 (Procesor Intel® Core™ i5-10300H (8M Cache, up to 4.50 GHz), Comet Lake, 15.6"" FHD, 8GB, 512GB SSD, nVidia GeForce GTX 1650 @4GB, FPR, Linux, Negru)","4.040,99 Lei","Stoc epuizat"
