web-scraper-order,web-scraper-start-url,title,price,availability
"1612387963-3138","https://www.itgalaxy.ro/laptopuri/pagina9/filtre/placa-video-tip-placa-video-dedicata/","Laptop MSI GS75 Stealth 10SGS-017PL 17.3 inch FHD Intel Core i9-10980HK 32GB DDR4 2TB SSD nVidia GeForce RTX 2080 Super Windows 10 Pro Black","16.024,99 lei","in stoc depozit/furnizor"
"1612387901-2730","https://www.itgalaxy.ro/laptopuri/pagina30/filtre/placa-video-tip-placa-video-dedicata/","Laptop Alienware M17 R3 17.3 inch FHD 144Hz Intel Core i9-10980HK 32GB DDR4 2 x 1TB SSD 512GB SSD nVidia GeForce RTX 2080 SUPER 8GB Windows 10 Pro 3Yr On-site Lunar Light","24.030,99 lei","nu este in stoc"
"1612387952-3065","https://www.itgalaxy.ro/laptopuri/pagina13/filtre/placa-video-tip-placa-video-dedicata/","Laptop Lenovo Ideapad 3-14IIL 14 inch FHD Intel Core i5-1035G1 8GB DDR4 256GB SSD nVidia GeForce MX330 Windows 10 Home Platinum Grey","3.807,99 lei","nu este in stoc"
"1612387933-2940","https://www.itgalaxy.ro/laptopuri/pagina19/filtre/placa-video-tip-placa-video-dedicata/","Laptop MSI GL75 Leopard 10SCXR-029XPL 17.3 inch FHD intel Core i5-10300H 32GB DDR4 500GB SSD nVidia GeForce 1650 4GB Windows 10 Home Black","5.347,99 lei","nu este in stoc"
"1612387930-2924","https://www.itgalaxy.ro/laptopuri/pagina20/filtre/placa-video-tip-placa-video-dedicata/","Laptop Dell Inspiron 5406 2-in-1 14 inch FHD Touch Intel Core i7-1165G7 16GB DDR4 512GB SSD nVidia GeForce MX330 2GB FPR Windows 10 Home 3Yr CIS Titan Grey","5.820,99 lei","nu este in stoc"
"1612387941-3008","https://www.itgalaxy.ro/laptopuri/pagina16/filtre/placa-video-tip-placa-video-dedicata/","Laptop Lenovo Legion 5-15ARH 15.6 inch FHD AMD Ryzen 5 4600H 16GB DDR4 500GB SSD+1TB HDD nVidia GeForce GTX 1650 Windows 10 Home Black","4.660,99 lei","nu este in stoc"
"1612387913-2799","https://www.itgalaxy.ro/laptopuri/pagina26/filtre/placa-video-tip-placa-video-dedicata/","Laptop ASUS ROG Zephyrus G15 GA503QR-HQ017 15.6 inch QHD AMD Ryzen 9 5900HS 16GB DDR4 1TB SSD Moonlight White","9.171,99 lei","nu este in stoc"
"1612387919-2837","https://www.itgalaxy.ro/laptopuri/pagina24/filtre/placa-video-tip-placa-video-dedicata/","Laptop ASUS ZenBook Flip 15 UX564EH-EZ006R 15.6 inch FHD Touch Intel Core i7-1165G7 16GB DDR4 1TB SSD 32GB Intel Optane nVidia GeForce GTX 1650 Windows 10 Pro Mineral Grey","7.484,99 lei","nu este in stoc"
"1612387963-3148","https://www.itgalaxy.ro/laptopuri/pagina9/filtre/placa-video-tip-placa-video-dedicata/","Laptop Alienware M15 R3 15.6 inch FHD 300Hz Intel Core i9-10980HK 32GB DDR4 2 x 512GB SSD nVidia GeForce RTX 2070 SUPER 8GB Windows 10 Pro 3Yr BOS Lunar Light","17.572,99 lei","in stoc depozit/furnizor"
"1612387904-2751","https://www.itgalaxy.ro/laptopuri/pagina29/filtre/placa-video-tip-placa-video-dedicata/","Laptop Alienware Area 51M 17.3 inch FHD Intel Core i9-9900K 16GB DDR4 512GB SSD nVidia GeForce RTX 2080 8GB Windows 10 Pro 3Yr On-site Black","19.678,99 lei","nu este in stoc"
"1612387983-3282","https://www.itgalaxy.ro/laptopuri/pagina2/filtre/placa-video-tip-placa-video-dedicata/","Laptop Lenovo Legion 5-15IMH 15.6 inch FHD Intel Core i7-10750H 16GB DDR4 1TB SSD nVidia GeForce GTX 1650 Fara Sistem de Operare Phantom Black","4.356,99 lei","in stoc depozit/furnizor"
"1612387947-3022","https://www.itgalaxy.ro/laptopuri/pagina15/filtre/placa-video-tip-placa-video-dedicata/","Laptop MSI Alpha 15 A3DD-032XPL 15.6 inch FHD AMD Ryzen 7 3750H 16GB DDR4 512GB SSD AMD Radeon RX 5500M 4GB Black","4.434,99 lei","nu este in stoc"
"1612387913-2808","https://www.itgalaxy.ro/laptopuri/pagina26/filtre/placa-video-tip-placa-video-dedicata/","Laptop Dell Inspiron 7700 G7 17.3 inch FHD 144Hz Intel Core i7-10750H 16GB DDR4 1TB SSD nVidia GeForce RTX 2070 8GB Windows 10 Home 3Yr CIS Black","9.512,99 lei","nu este in stoc"
"1612387971-3198","https://www.itgalaxy.ro/laptopuri/pagina6/filtre/placa-video-tip-placa-video-dedicata/","Laptop ASUS ROG Zephyrus G14 GA401IV-HE159T 14 inch FHD AMD Ryzen 9 4900HS 16GB DDR4 512GB SSD nVidia GeForce RTX 2060 6GB Windows 10 Home Gray","8.084,99 lei","in stoc depozit/furnizor"
"1612387947-3026","https://www.itgalaxy.ro/laptopuri/pagina15/filtre/placa-video-tip-placa-video-dedicata/","Laptop ASUS ROG G731GT-AU004 17.3 inch FHD Intel Core i7-9750H 8GB DDR4 512GB SSD nVidia GeForce GTX 1650 4GB Black","4.493,99 lei","nu este in stoc"
