web-scraper-order,web-scraper-start-url,price,title,availability
"1612388376-3788","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/15/","2.849,90lei","Laptop LENOVO IdeaPad 5 14ARE05, AMD Ryzen 5 4500U pana la 4.0GHz, 14"" Full HD, 8GB, SSD 512GB, AMD Radeon Graphics, Free DOS, gri","Stoc epuizat"
"1612388410-4425","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/2/","8.849,90lei","Laptop Gaming HP Omen 15-ek0022nq, Intel Core i7-10750H pana la 5.0GHz, 15.6"" Full HD, 16GB, SSD 1TB, NVIDIA GeForce RTX 2070 Max-Q 8GB, Free DOS, negru","In Stoc"
"1612388412-4463","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/1/","19.999,90lei","Laptop DELL XPS 9700, Intel Core i9-10885H pana la 5.3GHz, 17"" UHD+ Touch, 32GB, SSD 1TB, NVIDIA GeForce RTX Max-Q 2060 6GB , Windows 10 Pro, argintiu","In Stoc"
"1612388389-4015","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/10/","5.799,90lei","Laptop Gaming ASUS ROG Zephyrus G14 GA401IU-HE017, AMD Ryzen 7 4800HS pana la 4.2GHz, 14"" Full HD, 16GB, SSD 512GB, NVIDIA GeForce GTX 1660 Max-Q 6GB, Free DOS, alb","Stoc epuizat"
"1612388389-4031","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/10/","5.599,90lei","Laptop ASUS Zenbook 13 UX325JA-EG037R, Intel Core i7-1065G7 pana la 3.9GHz, 13.3"" Full HD, 16GB, SSD 512GB, Intel Iris Plus Graphics, Windows 10 Pro, gri","Stoc epuizat"
"1612388381-3893","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/13/","3.899,90lei","Laptop Gaming ASUS TUF FX705DT-AU027, AMD Ryzen 7 3750H pana la 4GHz, 17.3"" Full HD, 8GB, SSD 512GB, NVIDIA GeForce GTX 1650 4GB, Free DOS, Stealth Black","Stoc epuizat"
"1612388402-4270","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/5/","3.999,90lei","Laptop Gaming HP Pavilion 15-ec1038nq, AMD Ryzen 7 4800H pana la 4.2GHz, 15.6"" Full HD, 8GB, SSD 256GB, NVIDIA GeForce GTX 1650 Ti 4GB, Free DOS, negru","In Stoc"
"1612388379-3832","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/14/","3.599,90lei","Laptop 2 in 1 MICROSOFT Surface Pro X, Microsoft SQ1, 13"" Touch, 8GB, SSD 128GB, Adreno 685 GPU, LTE, Windows 10 Home, negru mat","Stoc epuizat"
"1612388412-4482","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/1/","12.499,90lei","Laptop Gaming HP Omen 15-dh1032nq, Intel Core i9-10885H pana la 5.3GHz, 15.6"" Full HD, 16GB, SSD 1TB, NVIDIA GeForce RTX 2080 Super Max-Q 8GB, Free DOS, negru","In Stoc"
"1612388394-4128","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/8/","7.899,90lei","Laptop 2 in 1 ASUS ZenBook Flip 13 UX371EA-HL003R, Intel Core i7-1165G7 pana la 4.7GHz, 13.3"" 4K UHD Touch OLED, 16GB, SSD 1TB, Intel Iris Xe, Windows 10 Pro, Jade Black","Stoc epuizat"
"1612388384-3942","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/12/","4.299,90lei","Laptop Gaming ASUS ROG Strix G G531GT-HN556, Intel Core i7-9750H pana la 4.5GHz, 15.6"" Full HD, 8GB, SSD 512GB, NVIDIA GeForce GTX 1650 4GB, Free DOS, negru","Stoc epuizat"
"1612388394-4151","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/8/","6.899,90lei","Laptop APPLE MacBook Air 13 mgne3ze/a, Apple M1, 13.3"" Retina Display, 8GB, SSD 512GB, Grafica integrata, macOS Big Sur, Gold - Tastatura layout INT","Stoc epuizat"
"1612388410-4439","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/2/","7.899,90lei","Laptop Gaming ASUS ROG Zephyrus S GX502GV-AZ072T, Intel Core i7-9750H pana la 4.5GHz, 15.6"" Full HD, 32GB, SSD 512GB, NVIDIA GeForce RTX 2060 6GB, Windows 10 Home, negru","In Stoc"
"1612388394-4138","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/8/","7.349,90lei","Laptop Gaming ASUS ROG Strix G15 G512LW-AZ074, Intel Core i7-10875H pana la 5.1GHz, 15.6"" Full HD, 16GB, SSD 512GB, NVIDIA GeForce RTX 2070 8GB, Free DOS, negru","Stoc epuizat"
"1612388384-3932","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/12/","4.499,90lei","Laptop Gaming LENOVO Legion Y540-15IRH, Intel Core i5-9300H pana la 4.1GHz, 15.6"" Full HD, 16GB, SSD 512GB, NVIDIA GeForce GTX 1660 Ti 6GB, Windows 10 Home, negru","Stoc epuizat"
"1612388394-4109","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/8/","8.499,90lei","Laptop 2 in 1 MICROSOFT Surface Pro X, Microsoft SQ1, 13"" Touch, 16GB, SSD 256GB, Adreno 685 GPU, LTE, Windows 10 Home, negru mat","Stoc epuizat"
"1612388387-3974","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/11/","5.099,90lei","Laptop Gaming ASUS TUF A15 FA506IV-HN268, AMD Ryzen 7 4800H pana la 4.2GHz, 15.6"" Full HD, 8GB, SSD 256GB, NVIDIA GeForce RTX 2060 6GB, Free DOS, gri inchis","Stoc epuizat"
"1612388412-4444","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/1/","7.999,90lei","Laptop Gaming ASUS TUF Dash F15 FX516PR-AZ019, Intel Core i7-11370H pana la 4.8GHz, 15.6"" Full HD, 16GB, SSD 1TB, NVIDIA GeForce RTX 3070 8GB, Free DOS, gri","In Stoc"
"1612388376-3787","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/15/","2.899,90lei","Laptop LENOVO IdeaPad 5 14IIL05, Intel Core i5-1035G1 pana la 3.6GHz, 14"" Full HD, 8GB, SSD 512GB, Intel UHD Graphics, Free DOS, Light Teal","Stoc epuizat"
"1612388399-4223","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/6/","7.299,90lei","Laptop APPLE MacBook Air 13 mvh52ze/a, Intel Core i5 pana la 3.6GHz, 13.3"" IPS Retina, 8GB, SSD 512GB, Intel Iris Plus Graphics, macOS Catalina, Gold - Tastatura layout INT","In anumite magazine"
"1612388399-4244","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/6/","4.999,90lei","Laptop Gaming MSI GS73 Stealth 8RE, Intel Core i7-8750H pana la 4.1GHz, 17.3"" Full HD, 16GB, HDD 1TB + SSD 128GB, NVIDIA GeForce GTX 1060 6GB, Free Dos","Stoc epuizat"
