web-scraper-order,web-scraper-start-url,title,price,availability,link,link-href,image-src,pagination,pagination-href
"1612611641-820","https://www.emag.ro/laptopuri/c","Laptop ASUS X543MA cu procesor Intel® Celeron® N4000 pana la 2.60 GHz, 15.6"", HD, 4GB, 256GB SSD, Intel® UHD Graphics 600, Windows 10 Home, Star Grey","1.849<sup>99</sup> <span>Lei</span>","în stoc","Laptop ASUS X543MA cu procesor Intel® Celeron® N4000 pana la 2.60 GHz, 15.6"", HD, 4GB, 256GB SSD, Intel® UHD Graphics 600, Windows 10 Home, Star Grey","https://www.emag.ro/laptop-asus-x543ma-cu-procesor-intelr-celeronr-n4000-pana-la-2-60-ghz-15-6-hd-4gb-256gb-ssd-intelr-uhd-graphics-600-windows-10-home-star-grey-x543ma-gq506t/pd/DYSML2MBM/","https://s13emagst.akamaized.net/products/32000/31999534/images/res_a3ef2e9cd5b65c4563495bd87231881b.jpg?width=200&height=200&hash=2EBCA958E4F6D8DB991DE97351E971A5","5","https://www.emag.ro/laptopuri/p5/c"
"1612611521-367","https://www.emag.ro/laptopuri/c","Laptop Lenovo ThinkPad E15 cu procesor Intel Core i5-10210U pana la 4.20 GHz, 15.6”, Full HD, 8GB, 256GB SSD, Intel UHD Graphics 620, Free DOS, Black","3.599<sup>00</sup> <span>Lei</span>","ultimele 3 produse","Laptop Lenovo ThinkPad E15 cu procesor Intel Core i5-10210U pana la 4.20 GHz, 15.6”, Full HD, 8GB, 256GB SSD, Intel UHD Graphics 620, Free DOS, Black","https://www.emag.ro/laptop-lenovo-thinkpad-e15-cu-procesor-intel-core-i5-10210u-pana-la-4-20-ghz-15-6-full-hd-8gb-256gb-ssd-intel-uhd-graphics-620-free-dos-black-20rd003kri/pd/DR8KJBMBM/","https://s13emagst.akamaized.net/products/29990/29989317/images/res_85398c25d5bfbba8dbcb994bb298b5e6.jpg?width=200&height=200&hash=FC608C2653671020C0044DA90C605A50","15","https://www.emag.ro/laptopuri/p15/c"
"1612611656-911","https://www.emag.ro/laptopuri/c","Laptop Apple MacBook Pro 13"" 2020 Touch Bar, procesor Intel® Core™ i5 2.0GHz, 16GB, 1TB SSD, Intel Iris Plus Graphics 128MB, Space Grey, INT KB","11.399<sup>99</sup> <span>Lei</span>","în stoc","Laptop Apple MacBook Pro 13"" 2020 Touch Bar, procesor Intel® Core™ i5 2.0GHz, 16GB, 1TB SSD, Intel Iris Plus Graphics 128MB, Space Grey, INT KB","https://www.emag.ro/laptop-apple-macbook-pro-13-2020-touch-bar-procesor-intelr-coretm-i5-2-0ghz-16gb-1tb-ssd-intel-iris-plus-graphics-128mb-space-grey-int-kb-mwp52ze-a/pd/D9515MMBM/","https://s13emagst.akamaized.net/products/30351/30350149/images/res_7fa389dc792f12051b43c139133eb7cd.jpg?width=200&height=200&hash=96CF6B2ADBCD18F279E7D18793CD3357","8","https://www.emag.ro/laptopuri/p8/c"
"1612611745-1261","https://www.emag.ro/laptopuri/c","Laptop Lenovo Yoga Slim 7 14IIL05 cu procesor Intel® Core™ i5-1035G4, 14"" Full HD, 16GB, 512GB SSD, Intel® Iris® Plus Graphics, Windows 10 Home, Orchid","4.199<sup>99</sup> <span>Lei</span>","în stoc","Laptop Lenovo Yoga Slim 7 14IIL05 cu procesor Intel® Core™ i5-1035G4, 14"" Full HD, 16GB, 512GB SSD, Intel® Iris® Plus Graphics, Windows 10 Home, Orchid","https://www.emag.ro/laptop-lenovo-yoga-slim-7-14iil05-cu-procesor-intelr-coretm-i5-1035g4-14-full-hd-16gb-512gb-ssd-intelr-irisr-plus-graphics-windows-10-home-orchid-82a1009nrm/pd/DLDP03MBM/","https://s13emagst.akamaized.net/products/31710/31709357/images/res_fc86483202784d18caec388381bbbee9.jpg?width=200&height=200&hash=EECFC7929A833C6143892BB35DD3C0DA","2","https://www.emag.ro/laptopuri/p2/c"
"1612611641-835","https://www.emag.ro/laptopuri/c","Laptop ASUS TUF Gaming F15 FX506LI-HN110, Intel Core i7-10870H, 15.6inch, RAM 16GB, SSD 1TB, nVidia GeForce GTX 1650 Ti 4GB, No OS, Bonfire Black","5.724<sup>99</sup> <span>Lei</span>","ultimul produs in stoc","Laptop ASUS TUF Gaming F15 FX506LI-HN110, Intel Core i7-10870H, 15.6inch, RAM 16GB, SSD 1TB, nVidia GeForce GTX 1650 Ti 4GB, No OS, Bonfire Black","https://www.emag.ro/laptop-asus-tuf-gaming-f15-intel-core-i7-10870h-15-6inch-ram-16gb-ssd-1tb-nvidia-geforce-gtx-1650-ti-4gb-no-os-bonfire-black-fx506li-hn110/pd/DXXR87MBM/","https://s13emagst.akamaized.net/products/34106/34105345/images/res_f073e923205e6639a90433626c687f80.jpg?width=200&height=200&hash=3A874E21C95794252439164A1B8CA267","5","https://www.emag.ro/laptopuri/p5/c"
"1612611612-699","https://www.emag.ro/laptopuri/c","Laptop ultraportabil HP 14s-dq1931nd cu procesor Intel® Core™ i3-1005G1 pana la 3.40 GHz, 14"", Full HD, 4GB, 128GB SSD, Intel UHD Graphics, Windows 10 Home S, Black","2.399<sup>99</sup> <span>Lei</span>","în stoc","Laptop ultraportabil HP 14s-dq1931nd cu procesor Intel® Core™ i3-1005G1 pana la 3.40 GHz, 14"", Full HD, 4GB, 128GB SSD, Intel UHD Graphics, Windows 10 Home S, Black","https://www.emag.ro/laptop-ultraportabil-hp-14s-dq1931nd-cu-procesor-intelr-coretm-i3-1005g1-pana-la-3-40-ghz-14-full-hd-4gb-128gb-ssd-intel-uhd-graphics-windows-10-home-s-black-1c4g5ea/pd/D5RKQ7MBM/","https://s13emagst.akamaized.net/products/33971/33970229/images/res_4798be22682e5af0741bd928b41e939c.jpg?width=200&height=200&hash=74358EAFF5E2779E22D1F3311BF08F5D","6","https://www.emag.ro/laptopuri/p6/c"
"1612611612-745","https://www.emag.ro/laptopuri/c","Laptop HP Pavilion 15-cs3002nq cu procesor Intel® Core™ i5-1035G1 pana la 3.60 GHz Ice Lake, 15.6"", Full HD, 8GB, 1TB HDD + 256GB SSD, Nvidia GeForce MX250 2GB, Free DOS, Mineral silver,","3.199<sup>99</sup> <span>Lei</span>","în stoc","Laptop HP Pavilion 15-cs3002nq cu procesor Intel® Core™ i5-1035G1 pana la 3.60 GHz Ice Lake, 15.6"", Full HD, 8GB, 1TB HDD + 256GB SSD, Nvidia GeForce MX250 2GB, Free DOS, Mineral silver,","https://www.emag.ro/laptop-hp-pavilion-15-cs3002nq-cu-procesor-intelr-coretm-i5-1035g1-pana-la-3-60-ghz-ice-lake-15-6-full-hd-8gb-1tb-hdd-256gb-ssd-nvidia-geforce-mx250-2gb-free-dos-mineral-silver-8pm79ea/pd/DZFJBBMBM/","https://s13emagst.akamaized.net/products/26778/26777810/images/res_e2fd165c9ab20b2f3868176737a5fb1c.jpg?width=200&height=200&hash=BE67AE5262EA7B46C143E3896AB8E5DA","6","https://www.emag.ro/laptopuri/p6/c"
"1612611476-205","https://www.emag.ro/laptopuri/c","Laptop Acer Aspire 3 A315-56-594W, 15.6 FullHD, Intel Core (10th Gen) i5-1035G, RAM 8 GB, 256GB SSD , Win10 Home, Steel Grey","3.599<sup>00</sup> <span>Lei</span>","în stoc","Laptop Acer Aspire 3 A315-56-594W, 15.6 FullHD, Intel Core (10th Gen) i5-1035G, RAM 8 GB, 256GB SSD , Win10 Home, Steel Grey","https://www.emag.ro/laptop-acer-aspire-3-a315-56-594w-15-6-fullhd-intel-core-10th-gen-i5-1035g-ram-8-gb-256gb-ssd-win10-home-steel-grey-nx-a0taa-005/pd/D1ZY0DMBM/","https://s13emagst.akamaized.net/products/34471/34470814/images/res_2e33727bbbcf84755a67790ad777ac00.jpg?width=200&height=200&hash=97462381C3FEF4F692F402DBD076A5C2","19","https://www.emag.ro/laptopuri/p19/c"
"1612611506-276","https://www.emag.ro/laptopuri/c","Laptop Gaming Alienware Area 51M cu procesor Intel® Core™ i7-9700K pan ala 4.90 GHz Coffee Lake, 17.3"", Full HD, 144Hz, IPS, 32GB, 512GB SSD + 1TB SSHD, NVIDIA GeForce RTX 2080 8GB, Windows 10 Pro, Black","21.999<sup>99</sup> <span>Lei</span>","ultimul produs in stoc","Laptop Gaming Alienware Area 51M cu procesor Intel® Core™ i7-9700K pan ala 4.90 GHz Coffee Lake, 17.3"", Full HD, 144Hz, IPS, 32GB, 512GB SSD + 1TB SSHD, NVIDIA GeForce RTX 2080 8GB, Windows 10 Pro, Black","https://www.emag.ro/laptop-gaming-alienware-area-51m-cu-procesor-intelr-coretm-i7-9700k-pan-ala-4-90-ghz-coffee-lake-17-3-full-hd-144hz-ips-32gb-512gb-ssd-1tb-sshd-nvidia-geforce-rtx-2080-8gb-windows-10-pro-black-a51mi73/pd/DTB7QBMBM/","https://s13emagst.akamaized.net/products/29349/29348945/images/res_261a75b1e739e5480b7aa4c33d721340.jpg?width=200&height=200&hash=CDFA0DB3B8C1B81F3E88FD410BFFBF8B","16","https://www.emag.ro/laptopuri/p16/c"
"1612611566-546","https://www.emag.ro/laptopuri/c","Laptop LENOVO IdeaPad S145-15AST, AMD A6-9225 ,dual core, 1MB, 15.6"" HD, Stoney-Ridge , 8GB DDR4, SSD 256GB SATA 3 , AMD Radeon R4 Graphics, fara sistem de operare, gri","2.288<sup>99</sup> <span>Lei</span>","ultimele 3 produse","Laptop LENOVO IdeaPad S145-15AST, AMD A6-9225 ,dual core, 1MB, 15.6"" HD, Stoney-Ridge , 8GB DDR4, SSD 256GB SATA 3 , AMD Radeon R4 Graphics, fara sistem de operare, gri","https://www.emag.ro/laptop-lenovo-ideapad-s145-15ast-amd-a6-9225-dual-core-1mb-15-6-hd-stoney-ridge-8gb-ddr4-ssd-256gb-sata-3-amd-radeon-r4-graphics-fara-sistem-de-operare-gri-ideapads145-8gb-256gb/pd/D9M8G7MBM/","https://s13emagst.akamaized.net/products/31489/31488236/images/res_5fcbdb16883c1a267ba4d5a1c05d620d.jpg?width=200&height=200&hash=4CAB4B8908D23DC66A71B6E689F012D8","10","https://www.emag.ro/laptopuri/p10/c"
