web-scraper-order,web-scraper-start-url,title,price,availability,pagination,pagination-href,link,link-href,image-src
"1612613523-2871","https://www.itgalaxy.ro/laptopuri/pagina1/filtre/placa-video-tip-placa-video-dedicata/","Laptop Lenovo ThinkPad E14 14 inch FHD Intel Core i5-10210U 16GB DDR4 256GB SSD+1TB HDD AMD Radeon RX 640 Windows 10 Pro Black","5.770,99 lei","nu este in stoc","18","https://www.itgalaxy.ro/laptopuri/pagina18/filtre/placa-video-tip-placa-video-dedicata/","Laptop Lenovo ThinkPad E14 14 inch FHD Intel Core i5-10210U 16GB DDR4 256GB SSD+1TB HDD AMD Radeon RX 640 Windows 10 Pro Black","https://www.itgalaxy.ro/laptopuri/lenovo/thinkpad-e14-14-inch-fhd-intel-core-i5-10210u-16gb-ddr4-256gb-ssd-plus1tb-hdd-amd-radeon-rx-640-windows-10-pro-black-372611/","https://cdni.itgalaxy.ro/images/products/img_202010182111/372611/thumbnails/laptop-lenovo-thinkpad-e14-14-inch-fhd-intel-core-i5-10210u-16gb-ddr4-256gb-ssd-plus1tb-hdd-amd-radeon-rx-640-windows-10-pro-black-901345.jpeg"
"1612613582-2952","https://www.itgalaxy.ro/laptopuri/pagina1/filtre/placa-video-tip-placa-video-dedicata/","Laptop HP 470 G7 17.3 inch FHD Intel Core i7-10510U 8GB DDR4 512GB SSD AMD Radeon 530 2GB Silver","4.023,99 lei","nu este in stoc","12","https://www.itgalaxy.ro/laptopuri/pagina12/filtre/placa-video-tip-placa-video-dedicata/","Laptop HP 470 G7 17.3 inch FHD Intel Core i7-10510U 8GB DDR4 512GB SSD AMD Radeon 530 2GB Silver","https://www.itgalaxy.ro/laptopuri/hp/470-g7-17-3-inch-fhd-intel-core-i7-10510u-8gb-ddr4-512gb-ssd-amd-radeon-530-2gb-silver-377809/","https://cdni.itgalaxy.ro/images/products/img_202010182111/377809/thumbnails/laptop-hp-470-g7-17-3-inch-fhd-intel-core-i7-10510u-8gb-ddr4-512gb-ssd-amd-radeon-530-2gb-silver-918548.jpeg"
"1612613284-2567","https://www.itgalaxy.ro/laptopuri/pagina1/filtre/placa-video-tip-placa-video-dedicata/","Laptop Dell Inspiron 5406 14 inch FHD Intel Core i7-1165G7 16GB DDR4 512GB SSD nVidia GeForce MX330 Windows 10 Home Silver","5.655,99 lei","in stoc depozit/furnizor","4","https://www.itgalaxy.ro/laptopuri/pagina4/filtre/placa-video-tip-placa-video-dedicata/","Laptop Dell Inspiron 5406 14 inch FHD Intel Core i7-1165G7 16GB DDR4 512GB SSD nVidia GeForce MX330 Windows 10 Home Silver","https://www.itgalaxy.ro/laptopuri/dell/inspiron-5406-14-inch-fhd-intel-core-i7-1165g7-16gb-ddr4-512gb-ssd-nvidia-geforce-mx330-windows-10-home-silver-380841/","https://cdni.itgalaxy.ro/images/products/img_202010182111/380841/thumbnails/laptop-dell-inspiron-5406-14-inch-fhd-intel-core-intel-core-i7-1165g7-16gb-ddr4-512gb-ssd-nvidia-geforce-mx330-windows-10-home-silver-927905.jpeg"
"1612613538-2878","https://www.itgalaxy.ro/laptopuri/pagina1/filtre/placa-video-tip-placa-video-dedicata/","Laptop Dell Vostro 5501 15.6 inch FHD Intel Core i7-1065G7 8GB DDR4 256GB SSD nVidia GeForce MX330 2GB Windows 10 Pro 3Yr BOS Grey","5.189,99 lei","nu este in stoc","17","https://www.itgalaxy.ro/laptopuri/pagina17/filtre/placa-video-tip-placa-video-dedicata/","Laptop Dell Vostro 5501 15.6 inch FHD Intel Core i7-1065G7 8GB DDR4 256GB SSD nVidia GeForce MX330 2GB Windows 10 Pro 3Yr BOS Grey","https://www.itgalaxy.ro/laptopuri/dell/vostro-5501-15-6-inch-fhd-intel-core-i7-1065g7-8gb-ddr4-256gb-ssd-nvidia-geforce-mx330-2gb-windows-10-pro-3yr-bos-grey-355116/","https://cdni.itgalaxy.ro/images/products/img_202005191430/355116/thumbnails/laptop-dell-vostro-5501-15-6-inch-fhd-intel-core-i7-1065g7-8gb-ddr4-256gb-ssd-nvidia-geforce-mx330-2gb-windows-10-pro-3yr-bos-grey-855845.jpeg"
"1612613403-2721","https://www.itgalaxy.ro/laptopuri/pagina1/filtre/placa-video-tip-placa-video-dedicata/","Laptop MSI Creator 17 A10SGS-224PL 17.3 inch UHD Intel Core i7-10875H 32GB DDR4 2TB SSD nVidia GeForce RTX 2080 SUPER 8GB Windows 10 Pro Grey","17.287,99 lei","nu este in stoc","28","https://www.itgalaxy.ro/laptopuri/pagina28/filtre/placa-video-tip-placa-video-dedicata/","Laptop MSI Creator 17 A10SGS-224PL 17.3 inch UHD Intel Core i7-10875H 32GB DDR4 2TB SSD nVidia GeForce RTX 2080 SUPER 8GB Windows 10 Pro Grey","https://www.itgalaxy.ro/laptopuri/msi/creator-17-a10sgs-224pl-17-3-inch-uhd-intel-core-i7-10875h-32gb-ddr4-2tb-ssd-nvidia-geforce-rtx-2080-super-8gb-windows-10-pro-grey-375082/","https://cdni.itgalaxy.ro/images/products/img_202010182111/375082/thumbnails/laptop-msi-msi-creator-17-a10sgs-224pl-909714.jpeg"
"1612613344-2654","https://www.itgalaxy.ro/laptopuri/pagina1/filtre/placa-video-tip-placa-video-dedicata/","Laptop HP Envy x360 15-ed0001nw 15.6 inch FHD Intel Core i5-10210U 8GB DDR4 256GB SSD nVidia GeForce MX330 Windows 10 Home Silver","5.134,99 lei","nu este in stoc","16","https://www.itgalaxy.ro/laptopuri/pagina16/filtre/placa-video-tip-placa-video-dedicata/","Laptop HP Envy x360 15-ed0001nw 15.6 inch FHD Intel Core i5-10210U 8GB DDR4 256GB SSD nVidia GeForce MX330 Windows 10 Home Silver","https://www.itgalaxy.ro/laptopuri/hp/envy-x360-15-ed0001nw-15-6-inch-fhd-intel-core-i5-10210u-8gb-ddr4-256gb-ssd-nvidia-geforce-mx330-windows-10-home-silver-374637/","https://cdni.itgalaxy.ro/images/products/img_202010182111/374637/thumbnails/laptop-hp-envy-x360-15-ed0001nw-15-6-inch-fhd-intel-core-i5-10210u-8gb-ddr4-256gb-ssd-nvidia-geforce-mx330-windows-10-home-silver-907927.jpeg"
"1612613597-2964","https://www.itgalaxy.ro/laptopuri/pagina1/filtre/placa-video-tip-placa-video-dedicata/","Laptop HP 250 G7 15.6 inch FHD Intel Core i5-1035G1 8GB DDR4 1TB HDD 128GB SSD nVidia GeForce MX110 2GB Silver","3.151,99 lei","nu este in stoc","11","https://www.itgalaxy.ro/laptopuri/pagina11/filtre/placa-video-tip-placa-video-dedicata/","Laptop HP 250 G7 15.6 inch FHD Intel Core i5-1035G1 8GB DDR4 1TB HDD 128GB SSD nVidia GeForce MX110 2GB Silver","https://www.itgalaxy.ro/laptopuri/hp/250-g7-15-6-inch-fhd-intel-core-i5-1035g1-8gb-ddr4-1tb-hdd-128gb-ssd-nvidia-geforce-mx110-2gb-silver-378709/","https://cdni.itgalaxy.ro/images/products/img_202010182111/378709/thumbnails/laptop-hp-250-g7-15-6-inch-fhd-intel-core-i5-1035g1-8gb-ddr4-1tb-hdd-128gb-ssd-nvidia-geforce-mx110-2gb-silver-920864.jpeg"
"1612613568-2918","https://www.itgalaxy.ro/laptopuri/pagina1/filtre/placa-video-tip-placa-video-dedicata/","Laptop ASUS TUF A15 FA506IU-HN311 15.6 inch FHD 144Hz AMD Ryzen 5 4600H 8GB DDR4 1TB HDD 256GB SSD nVidia GeForce GTX 1660 Ti 6GB Fortress Gray","4.506,99 lei","nu este in stoc","14","https://www.itgalaxy.ro/laptopuri/pagina14/filtre/placa-video-tip-placa-video-dedicata/","Laptop ASUS TUF A15 FA506IU-HN311 15.6 inch FHD 144Hz AMD Ryzen 5 4600H 8GB DDR4 1TB HDD 256GB SSD nVidia GeForce GTX 1660 Ti 6GB Fortress Gray","https://www.itgalaxy.ro/laptopuri/asus/tuf-a15-fa506iu-hn311-15-6-inch-fhd-144hz-amd-ryzen-5-4600h-8gb-ddr4-1tb-hdd-256gb-ssd-nvidia-geforce-gtx-1660-ti-6gb-fortress-gray-370675/","https://cdni.itgalaxy.ro/images/products/img_202010182111/370675/thumbnails/sistem-desktop-asus-tuf-a15-fa506iu-hn311-15-6-inch-fhd-144hz-amd-ryzen-5-4600h-8gb-ddr4-1tb-hdd-256gb-ssd-nvidia-geforce-gtx-1660-ti-6gb-fortress-gray-895276.jpeg"
"1612613523-2873","https://www.itgalaxy.ro/laptopuri/pagina1/filtre/placa-video-tip-placa-video-dedicata/","Laptop Dell Vostro 5401 14 inch FHD Intel Core i7-1065G7 16GB DDR4 512GB SSD nVidia GeForce MX330 2GB Windows 10 Pro 3Yr BOS Grey","5.779,99 lei","nu este in stoc","18","https://www.itgalaxy.ro/laptopuri/pagina18/filtre/placa-video-tip-placa-video-dedicata/","Laptop Dell Vostro 5401 14 inch FHD Intel Core i7-1065G7 16GB DDR4 512GB SSD nVidia GeForce MX330 2GB Windows 10 Pro 3Yr BOS Grey","https://www.itgalaxy.ro/laptopuri/dell/vostro-5401-14-inch-fhd-intel-core-i7-1065g7-16gb-ddr4-512gb-ssd-nvidia-geforce-mx330-2gb-windows-10-pro-3yr-bos-grey-355112/","https://cdni.itgalaxy.ro/images/products/img_202005191430/355112/thumbnails/laptop-dell-vostro-5401-14-inch-fhd-intel-core-i7-1065g7-16gb-ddr4-512gb-ssd-nvidia-geforce-mx330-2gb-windows-10-pro-3yr-bos-grey-855837.jpeg"
"1612613373-2686","https://www.itgalaxy.ro/laptopuri/pagina1/filtre/placa-video-tip-placa-video-dedicata/","Laptop Acer Enduro EN314-51WG 14 inch FHD Intel Core i7-10510U 16GB DDR4 1TB SSD nVidia GeForce MX230 Windows 10 Pro Shale Black","7.450,99 lei","nu este in stoc","22","https://www.itgalaxy.ro/laptopuri/pagina22/filtre/placa-video-tip-placa-video-dedicata/","Laptop Acer Enduro EN314-51WG 14 inch FHD Intel Core i7-10510U 16GB DDR4 1TB SSD nVidia GeForce MX230 Windows 10 Pro Shale Black","https://www.itgalaxy.ro/laptopuri/acer/enduro-en314-51wg-14-inch-fhd-intel-core-i7-10510u-16gb-ddr4-1tb-ssd-nvidia-geforce-mx230-windows-10-pro-shale-black-359734/","https://cdni.itgalaxy.ro/images/products/img_202005191430/359734/thumbnails/laptop-acer-enduro-en314-51wg-14-inch-fhd-intel-core-i7-10510u-16gb-ddr4-1tb-ssd-nvidia-geforce-mx230-windows-10-pro-shale-black-869109.jpeg"
