web-scraper-order,web-scraper-start-url,price,title,availability,pagination,pagination-href,image,link,link-href
"1612613820-3431","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/1/","9.499,90lei","Laptop APPLE MacBook Pro 13 z11f0010w, Apple M1, 13.3"" Retina Display si Touch Bar, 16GB, SSD 512GB, Grafica integrata, macOS Big Sur, Silver - Tastatura layout INT","Stoc epuizat","","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/7/","","Laptop APPLE MacBook Pro 13 z11f0010w, Apple M1, 13.3"" Retina Display si Touch Bar, 16GB, SSD 512GB, Grafica integrata, macOS Big Sur, Silver - Tastatura layout INT","https://mediagalaxy.ro/laptop-apple-macbook-pro-13-z11f0010w-apple-m1-13-3-retina-display-si-touch-bar-16gb-ssd-512gb-grafica-integrata-macos-big-sur-silver-tastatura-layout-int/cpd/LAPZ11F0010W/"
"1612613865-3565","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/1/","5.399,90lei","Laptop HUAWEI MateBook 13, Intel Core i7-10510U pana la 4.9GHz, 13"" 2K IPS, 16GB, SSD 512GB, NVIDIA GeForce MX250 2GB, Windows 10 Home, gri","Stoc epuizat","","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/10/","","Laptop HUAWEI MateBook 13, Intel Core i7-10510U pana la 4.9GHz, 13"" 2K IPS, 16GB, SSD 512GB, NVIDIA GeForce MX250 2GB, Windows 10 Home, gri","https://mediagalaxy.ro/laptop-huawei-matebook-13-intel-core-i7-10510u-pana-la-4-9ghz-13-2k-ips-16gb-ssd-512gb-nvidia-geforce-mx250-2gb-windows-10-home-gri/cpd/LAP53010UHS/"
"1612613850-3507","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/1/","6.399,90lei","Laptop ASUS Zenbook 14 UX425EA-BM026R, Intel Core i7-1165G7 pana la 4.7GHz, 14"" Full HD, 16GB, SSD 1TB, Intel Iris Xe, Windows 10 Pro, Pine Grey","Stoc epuizat","","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/9/","","Laptop ASUS Zenbook 14 UX425EA-BM026R, Intel Core i7-1165G7 pana la 4.7GHz, 14"" Full HD, 16GB, SSD 1TB, Intel Iris Xe, Windows 10 Pro, Pine Grey","https://mediagalaxy.ro/laptop-asus-zenbook-14-ux425ea-bm026r-intel-core-i7-1165g7-pana-la-4-7ghz-14-full-hd-16gb-ssd-1tb-intel-iris-xe-windows-10-pro-pine-grey/cpd/LAPUX425EBM026R/"
"1612613776-3262","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/1/","7.299,90lei","Laptop LENOVO ThinkPad T14s Gen 1, Intel Core i5-10210U pana la 4.2GHz, 14"" Full HD, 8GB, SSD 512GB, Intel UHD Graphics, Windows 10 Pro, negru","In Stoc","","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/4/","","Laptop LENOVO ThinkPad T14s Gen 1, Intel Core i5-10210U pana la 4.2GHz, 14"" Full HD, 8GB, SSD 512GB, Intel UHD Graphics, Windows 10 Pro, negru","https://mediagalaxy.ro/laptop-lenovo-thinkpad-t14s-gen-1-intel-core-i5-10210u-pana-la-4-2ghz-14-full-hd-8gb-ssd-512gb-intel-uhd-graphics-windows-10-pro-negru/cpd/LAP20T0003WRI/"
"1612613776-3290","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/1/","6.699,90lei","Laptop ASUS ZenBook 14 UX435EA-A5022R, Intel Core i7-1165G7 pana la 4.7GHz, 14"" Full HD, 16GB, SSD 1TB, Intel Iris Xe Graphics, Windows 10 Pro, gri","In Stoc","","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/4/","","Laptop ASUS ZenBook 14 UX435EA-A5022R, Intel Core i7-1165G7 pana la 4.7GHz, 14"" Full HD, 16GB, SSD 1TB, Intel Iris Xe Graphics, Windows 10 Pro, gri","https://mediagalaxy.ro/laptop-asus-zenbook-14-ux435ea-a5022r-intel-core-i7-1165g7-pana-la-4-7ghz-14-full-hd-16gb-ssd-1tb-intel-iris-xe-graphics-windows-10-pro-gri/cpd/LAPUX435EA5022R/"
"1612613924-3768","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/1/","2.999,90lei","Laptop ASUS VivoBook 15 M513IA-EJ057T, AMD Ryzen 5 4500U pana la 4.0GHz, 15.6"" Full HD, 8GB, SSD 512GB, AMD Radeon Graphics, Windows 10 Home, albastru","Stoc epuizat","","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/14/","","Laptop ASUS VivoBook 15 M513IA-EJ057T, AMD Ryzen 5 4500U pana la 4.0GHz, 15.6"" Full HD, 8GB, SSD 512GB, AMD Radeon Graphics, Windows 10 Home, albastru","https://mediagalaxy.ro/laptop-asus-vivobook-15-m513ia-ej057t-amd-ryzen-5-4500u-pana-la-4-0ghz-15-6-full-hd-8gb-ssd-512gb-amd-radeon-graphics-windows-10-home-albastru/cpd/LAPM513IAEJ057T/"
"1612613805-3373","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/1/","2.799,90lei","Laptop DELL Vostro 5490, Intel Core i3-10110U pana la 4.1GHz, 14"" Full HD, 4GB, SSD 256GB, Intel UHD Graphics, Ubuntu, gri","In Stoc","","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/6/","","Laptop DELL Vostro 5490, Intel Core i3-10110U pana la 4.1GHz, 14"" Full HD, 4GB, SSD 256GB, Intel UHD Graphics, Ubuntu, gri","https://mediagalaxy.ro/laptop-dell-vostro-5490-intel-core-i3-10110u-pana-la-4-1ghz-14-full-hd-4gb-ssd-256gb-intel-uhd-graphics-ubuntu-gri/cpd/LAP54906457/"
"1612613731-3120","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/1/","2.199,90lei","Laptop LENOVO IdeaPad 3 15IIL05, Intel Core i3-1005G1 pana la 3.4GHz, 15.6"" Full HD, 8GB, SSD 256GB, Intel UHD Graphics, Free DOS, albastru","In Stoc","","","","Laptop LENOVO IdeaPad 3 15IIL05, Intel Core i3-1005G1 pana la 3.4GHz, 15.6"" Full HD, 8GB, SSD 256GB, Intel UHD Graphics, Free DOS, albastru","https://mediagalaxy.ro/laptop-lenovo-ideapad-3-15iil05-intel-core-i3-1005g1-pana-la-3-4ghz-15-6-full-hd-8gb-ssd-256gb-intel-uhd-graphics-free-dos-albastru/cpd/LAP81WE00T9RM/"
"1612613731-3151","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/1/","1.799,90lei","Laptop LENOVO IdeaPad 3 15ARE05, AMD Ryzen 3 4300U pana la 3.7GHz, 15.6"" Full HD, 4GB, SSD 256GB, AMD Radeon Graphics, Free DOS, gri","In Stoc","","","","Laptop LENOVO IdeaPad 3 15ARE05, AMD Ryzen 3 4300U pana la 3.7GHz, 15.6"" Full HD, 4GB, SSD 256GB, AMD Radeon Graphics, Free DOS, gri","https://mediagalaxy.ro/laptop-lenovo-ideapad-3-15are05-amd-ryzen-3-4300u-pana-la-3-7ghz-15-6-full-hd-4gb-ssd-256gb-amd-radeon-graphics-free-dos-gri/cpd/LAP81W4002SRM/"
"1612613805-3385","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/1/","1.699,90lei","Laptop HP 255 G7, AMD Ryzen 3 3200U pana la 3.5GHz, 15.6"" Full HD, 8GB, SSD 256GB, AMD Radeon Vega 3, Free DOS, cenusiu inchis","In Stoc","","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/6/","","Laptop HP 255 G7, AMD Ryzen 3 3200U pana la 3.5GHz, 15.6"" Full HD, 8GB, SSD 256GB, AMD Radeon Vega 3, Free DOS, cenusiu inchis","https://mediagalaxy.ro/laptop-hp-255-g7-amd-ryzen-3-3200u-pana-la-3-5ghz-15-6-full-hd-8gb-ssd-256gb-amd-radeon-vega-3-free-dos-cenusiu-inchis/cpd/LAP15A04EA/"
"1612613761-3232","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/1/","8.399,90lei","Laptop Gaming HP Omen 15-dh0013nq, Intel Core i7-9750H pana la 4.5GHz, 15.6"" Full HD, 16GB, SSD 1TB, NVIDIA GeForce RTX 2080 Max-Q 8GB, Free Dos, negru","In Stoc","","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/3/","","Laptop Gaming HP Omen 15-dh0013nq, Intel Core i7-9750H pana la 4.5GHz, 15.6"" Full HD, 16GB, SSD 1TB, NVIDIA GeForce RTX 2080 Max-Q 8GB, Free Dos, negru","https://mediagalaxy.ro/laptop-gaming-hp-omen-15-dh0013nq-intel-core-i7-9750h-pana-la-4-5ghz-15-6-full-hd-16gb-ssd-1tb-nvidia-geforce-rtx-2080-max-q-8gb-free-dos-negru/cpd/LAP8PT48EA/"
"1612613924-3782","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/1/","2.699,90lei","Laptop ASUS VivoBook 15 X513EA-EJ011, Intel Core i3-1115G4 pana la 4.1GHz, 15.6"" Full HD, 8GB, SSD 256GB, Intel UHD Graphics, Free DOS, negru","Stoc epuizat","","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/14/","","Laptop ASUS VivoBook 15 X513EA-EJ011, Intel Core i3-1115G4 pana la 4.1GHz, 15.6"" Full HD, 8GB, SSD 256GB, Intel UHD Graphics, Free DOS, negru","https://mediagalaxy.ro/laptop-asus-vivobook-15-x513ea-ej011-intel-core-i3-1115g4-pana-la-4-1ghz-15-6-full-hd-8gb-ssd-256gb-intel-uhd-graphics-free-dos-negru/cpd/LAPX513EAEJ011/"
"1612613910-3725","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/1/","3.699,90lei","Laptop ASUS ZenBook 14 UM431DA-AM029, AMD Ryzen 7 3700U pana la 4GHz, 14"" Full HD, 16GB, SSD 512GB AMD Radeon RX Vega 10, Endless OS, Utopia Blue","Stoc epuizat","","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/13/","","Laptop ASUS ZenBook 14 UM431DA-AM029, AMD Ryzen 7 3700U pana la 4GHz, 14"" Full HD, 16GB, SSD 512GB AMD Radeon RX Vega 10, Endless OS, Utopia Blue","https://mediagalaxy.ro/laptop-asus-zenbook-14-um431da-am029-amd-ryzen-7-3700u-pana-la-4ghz-14-full-hd-16gb-ssd-512gb-amd-radeon-rx-vega-10-endless-os-utopia-blue/cpd/LAPUM431DAAM029/"
"1612613805-3359","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/1/","3.799,90lei","Laptop LENOVO ThinkPad E15 Gen 2, Intel Core i5-1135G7 pana la 4.2GHz, 15.6"" Full HD, 16GB, SSD 512GB, Intel Iris Xe Graphics, Free DOS, negru","In Stoc","","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/6/","","Laptop LENOVO ThinkPad E15 Gen 2, Intel Core i5-1135G7 pana la 4.2GHz, 15.6"" Full HD, 16GB, SSD 512GB, Intel Iris Xe Graphics, Free DOS, negru","https://mediagalaxy.ro/laptop-lenovo-thinkpad-e15-gen-2-intel-core-i5-1135g7-pana-la-4-2ghz-15-6-full-hd-16gb-ssd-512gb-intel-iris-xe-graphics-free-dos-negru/cpd/LAP20TD001LRI/"
