web-scraper-order,web-scraper-start-url,title,price,availability,pagination,pagination-href,image-src,link,link-href
"1613204788-474","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop 2 in 1 Dell Latitude 5310, Intel® Core™ i5-10210U, 8GB DDR4, SSD 256GB,","5.696,90 lei","In stoc - exclusiv online","3","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/145020-1.jpg","","https://www.flanco.ro/laptop-2-in-1-dell-latitude-5310-intel-core-i5-10210u-8gb-ddr4-ssd-256gb-intel-uhd-graphics-windows-10-pro.html"
"1613204788-488","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Asus ZenBook 13 UX325EA-AH037R, Intel® Core™ i7-1165G7, 16GB LPDDR4X, SS","6.635,90 lei","In stoc - exclusiv online","3","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/145024-1.jpg","","https://www.flanco.ro/laptop-asus-zenbook-13-ux325ea-ah037r-intel-core-i7-1165g7-16gb-lpddr4x-ssd-1tb-intel-iris-xe-graphics-windows-10-pro.html"
"1613204756-158","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Dell Latitude 5410, Intel® Core™ i5-10210U, 8GB DDR4, SSD 512GB, Intel&#","4.499,99 lei","In stoc","","","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/144046-2.jpg","","https://www.flanco.ro/laptop-dell-latitude-5410-intel-core-i5-10210u-8gb-ddr4-ssd-512gb-intel-uhd-graphics-linux.html"
"1613204805-714","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Lenovo IdeaPad 3 15ADA05, AMD Ryzen™ 3 3250U, 4GB DDR4, SSD 256GB, AMD Radeon","1.999,99 lei","In stoc","2","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/144650-1.jpg","","https://www.flanco.ro/laptop-lenovo-ideapad-3-15ada05-amd-ryzen-3-3250u-4gb-ddr4-ssd-256gb-amd-radeon-graphics-free-dos.html"
"1613204805-721","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Lenovo ThinkPad T490s, Intel® Core™ i5-8265U, 8GB DDR4, SSD 512GB, Intel","7.449,90 lei","In stoc - exclusiv online","2","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/140058-1_2.jpg","","https://www.flanco.ro/laptop-lenovo-thinkpad-t490s-intel-core-i5-8265u-8gb-ddr4-ssd-512gb-intel-uhd-graphics-windows-10-pro.html"
"1613204756-152","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop HP 14-dk1002nq, AMD Ryzen™ 3 3250U, 8GB DDR4, SSD 256GB, AMD Radeon™ Ve","2.749,99 lei","In stoc","","","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/144790-1_1.jpg","","https://www.flanco.ro/laptop-hp-14-dk1002nq-amd-ryzen-3-3250u-8gb-ddr4-ssd-256gb-amd-radeon-vega-m-windows-10-home.html"
"1613204756-137","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Acer One 14, Intel® Pentium® Gold 4415U, 4GB RAM, HDD 1TB, Intel® HD","2.299,99 lei","In stoc","","","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/143108_1.jpg","","https://www.flanco.ro/laptop-acer-one-14-intel-pentium-gold-4415u-4gb-ram-hdd-1tb-intel-hd-graphics-windows-10-home.html"
"1613204756-155","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop ultraportabil Acer Swift 3 SF314-57G-55P2, Intel® Core™ i5-1035G1, 8GB D","4.299,90 lei","In stoc - exclusiv online","","","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/140260-1.jpg","","https://www.flanco.ro/laptop-ultraportabil-acer-swift-3-sf314-57g-55p2-intel-core-i5-1035g1-8gb-ddr4-ssd-512gb-nvidia-geforce-mx250-2gb-windows-10-home.html"
"1613204756-126","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Lenovo IdeaPad 130-15IKB, Intel® Core™ i3-8130U, 4GB DDR4, HDD 1TB, Inte","2.199,99 lei","In stoc","","","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/144148-1.jpg","","https://www.flanco.ro/laptop-lenovo-ideapad-130-15ikb-intel-core-i3-8130u-4gb-ddr4-hdd-1tb-intel-uhd-graphics-free-dos.html"
"1613204788-480","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Apple MacBook Pro 16 Touch Bar, Intel® Core™ i9, 16GB DDR4, SSD 1TB, AMD","14.299,99 lei","Stoc limitat","3","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/3/138490-1_2.jpg","","https://www.flanco.ro/laptop-apple-macbook-pro-16-touch-bar-intel-core-i9-16gb-ddr4-ssd-1tb-amd-radeon-pro-5500m-4gb-macos-catalina-space-gray-int-kb.html"
"1613204756-141","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Lenovo IdeaPad 3 15IIL05, Intel® Core™ i3-1005G1, 8GB DDR4, SSD 256GB, I","2.599,90 lei","In stoc - exclusiv online","","","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/145031-1.jpg","","https://www.flanco.ro/laptop-lenovo-ideapad-3-15iil05-intel-core-i3-1005g1-8gb-ddr4-ssd-256gb-intel-uhd-graphics-windows-10-home-s.html"
"1613204756-142","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Lenovo IdeaPad 3 15IML05, Intel® Pentium® Gold 6405U, 4GB DDR4, SSD 256GB","1.699,99 lei","In stoc","","","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/141671-1.jpg","","https://www.flanco.ro/laptop-lenovo-ideapad-3-15iml05-intel-pentium-gold-6405u-4gb-ddr4-ssd-256gb-intel-uhd-graphics-free-dos.html"
"1613204805-727","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Dell Latitude 5410, Intel® Core™ i7-10610U, 8GB DDR4, SSD 256GB, Intel&#","5.499,99 lei","In stoc","2","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/143364-1.jpeg","","https://www.flanco.ro/laptop-dell-latitude-5410-intel-core-i7-10610u-8gb-ddr4-ssd-256gb-intel-uhd-graphics-windows-10-pro.html"
"1613204805-719","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Dell Latitude 5511, Intel® Core™ i5-10400H, 8GB DDR4, SSD 256GB, Intel&#","5.199,99 lei","In stoc","2","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/144047-1.jpg","","https://www.flanco.ro/laptop-dell-latitude-5511-intel-core-i5-10400h-8gb-ddr4-ssd-256gb-intel-uhd-graphics-windows-10-pro.html"
"1613204771-214","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop ultraportabil Huawei MateBook D14 2020, AMD Ryzen™ 7 3700U, 8GB DDR4, SSD 512","3.599,99 lei","Stoc limitat","4","https://www.flanco.ro/laptop-it-tablete/laptop/p/4.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/144478-1.jpg","","https://www.flanco.ro/laptop-ultraportabil-huawei-matebook-d14-2020-amd-ryzen-7-3700u-8gb-ddr4-ssd-512gb-amd-radeon-rx-vega-10-graphics-windows-10-home.html"
"1613204788-479","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Dell Latitude 7310, Intel® Core™ i5-10310U, 8GB DDR4, SSD 256GB, Intel&#","6.027,90 lei","In stoc - exclusiv online","3","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/145023-1.jpg","","https://www.flanco.ro/laptop-dell-latitude-7310-intel-core-i5-10310u-8gb-ddr4-ssd-256gb-intel-uhd-graphics-windows-10-pro.html"
"1613204756-160","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Acer Swift SF314-57-59LE, Intel® Core™ i5-1035G1, 8GB DDR4, SSD 256GB, I","3.499,90 lei","In stoc - exclusiv online","","","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/144933-1.jpg","","https://www.flanco.ro/laptop-acer-swift-sf314-57-59le-intel-core-i5-1035g1-8gb-ddr4-ssd-256gb-intel-uhd-graphics-bootable-linux.html"
"1613204788-477","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Gaming Asus ROG Strix G17 G712LU-H7023, Intel® Core™ i7-10750H, 16GB DDR","6.110,90 lei","In stoc - exclusiv online","3","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/145022-1.jpg","","https://www.flanco.ro/laptop-gaming-asus-rog-strix-g17-g712lu-h7023-intel-core-i7-10750h-16gb-ddr4-ssd-512gb-nvidia-geforce-gtx-1660ti-6gb-free-dos.html"
"1613204788-498","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop HP ProBook 440 G7, Intel® Core™ i7-10510U, 8GB DDR4, HDD 1TB + SSD 256GB","4.500,90 lei","In stoc - exclusiv online","3","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/140661-1_2.jpg","","https://www.flanco.ro/laptop-hp-probook-440-g7-intel-core-i7-10510u-8gb-ddr4-hdd-1tb-ssd-256gb-intel-uhd-graphics-windows-10-pro.html"
"1613204788-483","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Asus VivoBook S14 M433IA-EB202, AMD Ryzen™ 5 4500U, 8GB DDR4, SSD 512GB, AMD","3.099,99 lei","Stoc limitat","3","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/144815-1.jpg","","https://www.flanco.ro/laptop-asus-vivobook-s14-m433ia-eb202-amd-ryzen-5-4500u-8gb-ddr4-ssd-512gb-amd-radeon-graphics-free-dos.html"
"1613204805-709","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Dell Latitude 5410, Intel® Core™ i5-10210U, 8GB DDR4, SSD 256GB, Intel&#","3.799,99 lei","In stoc","2","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/143763-1.jpg","","https://www.flanco.ro/laptop-dell-latitude-5410-intel-core-i5-10210u-8gb-ddr4-ssd-256gb-intel-uhd-graphics-linux.html"
"1613204788-473","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Gaming Asus ROG Zephyrus G14 GA401IV-HA040T, AMD Ryzen™ 9 4900HS, 16GB DDR4,","7.999,90 lei","In stoc - exclusiv online","3","https://www.flanco.ro/laptop-it-tablete/laptop/p/3.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/144937-1.jpg","","https://www.flanco.ro/laptop-gaming-asus-rog-zephyrus-g14-ga401iv-ha040t-amd-ryzen-9-4900hs-16gb-ddr4-ssd-1tb-nvidia-geforce-rtx-2060-6gb-windows-10-home.html"
"1613204805-734","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop ultraportabil Asus E210MA-GJ001TS, Intel® Celeron® N4020, 4GB DDR4, eMMC","1.449,99 lei","In stoc","2","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/143955-1.jpg","","https://www.flanco.ro/laptop-ultraportabil-asus-e210ma-gj001ts-intel-celeron-n4020-4gb-ddr4-emmc-64gb-intel-uhd-graphics-windows-10-home-s-blue.html"
"1613204805-726","https://www.flanco.ro/laptop-it-tablete/laptop/p/1.html","Laptop Asus ZenBook 14 UX482EA-HY024R, Intel® Core i5-1035G7, 8GB DDR4, SSD 512GB, In","6.999,90 lei","In stoc - exclusiv online","2","https://www.flanco.ro/laptop-it-tablete/laptop/p/2.html","https://s1.flanco.ro/catalog/product/cache/368/small_image/201x201/9df78eab33525d08d6e5fb8d27136e95/1/4/145261-1.jpg","","https://www.flanco.ro/laptop-asus-zenbook-14-ux482ea-hy024r-intel-core-i5-1035g7-8gb-ddr4-ssd-512gb-intel-iris-xe-graphics-windows-10-pro.html"
