web-scraper-order,web-scraper-start-url,title,price,availability,pagination,pagination-href,link,link-href,image
"1613205197-4481","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop ASUS Gaming 15.6'' ASUS TUF F15 FX506LU, FHD 144Hz, Procesor Intel® Core™ i7-10870H (16M Cache, up to 5.00 GHz), 8GB DDR4, 1TB + 256GB SSD, GeForce GTX 1660 Ti 6GB, No OS, Bonfire Black","4.798,99 RON","Stoc magazin suficient","2","https://www.pcgarage.ro/notebook-laptop/pagina2/filtre/placa-video-placa-video-dedicata/","Laptop ASUS Gaming 15.6'' ASUS TUF F15 FX506LU, FHD 144Hz, Procesor Intel® Core™ i7-10870H (16M Cache, up to 5.00 GHz), 8GB DDR4, 1TB + 256GB SSD, GeForce GTX 1660 Ti 6GB, No OS, Bonfire Black","https://www.pcgarage.ro/notebook-laptop/asus/gaming-156-asus-tuf-f15-fx506lu-fhd-144hz-procesor-intel-core-i7-10870h-16m-cache-up-to-500-ghz-8gb-ddr4-1tb-plus-256gb-ssd-geforce-gtx-1660-ti-6gb-no-os-bonfire-black/","https://2.grgs.ro/images/products/1/9507/2103954/thumbnails/gaming-156-asus-tuf-f15-fx506li-fhd-144hz-procesor-intel-core-i7-10870h-16m-cache-up-to-500-ghz-16gb-ddr4-512gb-ssd-geforce-gtx-1650-ti-4gb-no-os-bonf-b001c647279b991deb7c7143a37bdd59.jpg, https://1.grgs.ro/images/products/1/9507/2103954/normal/gaming-156-asus-tuf-f15-fx506li-fhd-144hz-procesor-intel-core-i7-10870h-16m-cache-up-to-500-ghz-16gb-ddr4-512gb-ssd-geforce-gtx-1650-ti-4gb-no-os-bonf-b001c647279b991deb7c7143a37bdd59.jpg 2x"
"1613205164-4407","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop ASUS Gaming 14'' ROG Zephyrus G14 GA401IV, FHD 120Hz, Procesor AMD Ryzen™ 9 4900HS (8M Cache, up to 4.40 GHz), 16GB DDR4, 1TB SSD, GeForce RTX 2060 6GB, Win 10 Home, Eclipse Gray AniMe Matrix","7.098,99 RON","Stoc magazin suficient","4","https://www.pcgarage.ro/notebook-laptop/pagina4/filtre/placa-video-placa-video-dedicata/","Laptop ASUS Gaming 14'' ROG Zephyrus G14 GA401IV, FHD 120Hz, Procesor AMD Ryzen™ 9 4900HS (8M Cache, up to 4.40 GHz), 16GB DDR4, 1TB SSD, GeForce RTX 2060 6GB, Win 10 Home, Eclipse Gray AniMe Matrix","https://www.pcgarage.ro/notebook-laptop/asus/gaming-14-rog-zephyrus-g14-ga401iv-fhd-120hz-procesor-amd-ryzen-9-4900hs-8m-cache-up-to-440-ghz-16gb-ddr4-1tb-ssd-geforce-rtx-2060-6gb-win-10-home-eclipse-gray-anime-matrix/","https://1.grgs.ro/images/products/1/2045418/2061070/thumbnails/gaming-14-rog-zephyrus-g14-ga401iv-qhd-procesor-amd-ryzen-9-4900hs-8m-cache-up-to-440-ghz-16gb-ddr4-1tb-ssd-geforce-rtx-2060-6gb-win-10-home-eclipse-g-cdc70ca1ee76c830aef6b4b096a438f2.jpg, https://3.grgs.ro/images/products/1/2045418/2061070/normal/gaming-14-rog-zephyrus-g14-ga401iv-qhd-procesor-amd-ryzen-9-4900hs-8m-cache-up-to-440-ghz-16gb-ddr4-1tb-ssd-geforce-rtx-2060-6gb-win-10-home-eclipse-g-cdc70ca1ee76c830aef6b4b096a438f2.jpg 2x"
"1613205025-3330","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop Acer Gaming 15.6'' Predator Helios 300 PH315-53, FHD IPS 144Hz, Procesor Intel® Core™ i5-10300H (8M Cache, up to 4.50 GHz), 16GB DDR4, 512GB SSD, GeForce RTX 2060 6GB, Win 10 Home, Abyssal Black","7.899,00 RON","Nu este in stoc","14","https://www.pcgarage.ro/notebook-laptop/pagina14/filtre/placa-video-placa-video-dedicata/","Laptop Acer Gaming 15.6'' Predator Helios 300 PH315-53, FHD IPS 144Hz, Procesor Intel® Core™ i5-10300H (8M Cache, up to 4.50 GHz), 16GB DDR4, 512GB SSD, GeForce RTX 2060 6GB, Win 10 Home, Abyssal Black","https://www.pcgarage.ro/notebook-laptop/acer/gaming-156-predator-helios-300-ph315-53-fhd-ips-144hz-procesor-intel-core-i5-10300h-8m-cache-up-to-450-ghz-16gb-ddr4-512gb-ssd-geforce-rtx-2060-6gb-win-10-home-abyssal-black/","https://3.grgs.ro/images/products/1/4917/2066970/thumbnails/gaming-156-predator-helios-300-ph315-53-fhd-ips-144hz-procesor-intel-core-i5-10300h-8m-cache-up-to-450-ghz-16gb-ddr4-256gb-ssd-geforce-rtx-2060-6gb-wi-50072f6d1fecf2d3ffb9740f7ad1ab6d.jpg, https://2.grgs.ro/images/products/1/4917/2066970/normal/gaming-156-predator-helios-300-ph315-53-fhd-ips-144hz-procesor-intel-core-i5-10300h-8m-cache-up-to-450-ghz-16gb-ddr4-256gb-ssd-geforce-rtx-2060-6gb-wi-50072f6d1fecf2d3ffb9740f7ad1ab6d.jpg 2x"
"1613204952-2495","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop Lenovo Gaming 15.6'' Legion 5 15IMH05H, FHD IPS 120Hz, Procesor Intel® Core™ i7-10750H (12M Cache, up to 5.00 GHz), 16GB DDR4, 1TB SSD, GeForce GTX 1660 Ti 6GB, No OS, Phantom Black, 4-Zone RGB","6.899,99 RON","Nu este in stoc","10","https://www.pcgarage.ro/notebook-laptop/pagina10/filtre/placa-video-placa-video-dedicata/","Laptop Lenovo Gaming 15.6'' Legion 5 15IMH05H, FHD IPS 120Hz, Procesor Intel® Core™ i7-10750H (12M Cache, up to 5.00 GHz), 16GB DDR4, 1TB SSD, GeForce GTX 1660 Ti 6GB, No OS, Phantom Black, 4-Zone RGB","https://www.pcgarage.ro/notebook-laptop/lenovo/gaming-156-legion-5-15imh05h-fhd-120hz-procesor-intel-core-i7-10750h-12m-cache-up-to-500-ghz-16gb-ddr4-1tb-ssd-geforce-gtx-1660-ti-6gb-no-os-phantom-black-4-zone-rgb/","https://4.grgs.ro/images/products/1/7960/2061178/thumbnails/gaming-156-legion-5-15imh05h-fhd-ips-procesor-intel-core-i7-10750h-12m-cache-up-to-500-ghz-16gb-ddr4-512gb-ssd-geforce-rtx-2060-6gb-no-os-phantom-blac-a73ee2f13f4847a934ded53ef7eacfab.jpg, https://3.grgs.ro/images/products/1/7960/2061178/normal/gaming-156-legion-5-15imh05h-fhd-ips-procesor-intel-core-i7-10750h-12m-cache-up-to-500-ghz-16gb-ddr4-512gb-ssd-geforce-rtx-2060-6gb-no-os-phantom-blac-a73ee2f13f4847a934ded53ef7eacfab.jpg 2x"
"1613204807-746","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop MSI Gaming 17.3'' GT76 Titan DT 10SGS, FHD 300Hz, Procesor Intel® Core™ i9-10900K  (20M Cache, up to 5.30 GHz), 32GB DDR4, 2x 1TB SSD, GeForce RTX 2080 SUPER 8GB, Win 10 Pro, Dark Grey","20.999,00 RON","Nu este in stoc","»","https://www.pcgarage.ro/notebook-laptop/pagina23/filtre/placa-video-placa-video-dedicata/","Laptop MSI Gaming 17.3'' GT76 Titan DT 10SGS, FHD 300Hz, Procesor Intel® Core™ i9-10900K  (20M Cache, up to 5.30 GHz), 32GB DDR4, 2x 1TB SSD, GeForce RTX 2080 SUPER 8GB, Win 10 Pro, Dark Grey","https://www.pcgarage.ro/notebook-laptop/msi/gaming-173-gt76-titan-dt-10sgs-fhd-300hz-procesor-intel-core-i9-10900k-20m-cache-up-to-530-ghz-32gb-ddr4-2x-1tb-ssd-geforce-rtx-2080-super-8gb-win-10-pro-dark-grey/","https://2.grgs.ro/images/products/1/6954/2061282/thumbnails/gaming-173-gt76-titan-dt-10sgs-fhd-300hz-procesor-intel-core-i9-10900k-20m-cache-up-to-530-ghz-32gb-ddr4-2x-1tb-ssd-geforce-rtx-2080-super-8gb-win-10--cb23af98318ab3be1ef011c8d8badd27.jpg, https://4.grgs.ro/images/products/1/6954/2061282/normal/gaming-173-gt76-titan-dt-10sgs-fhd-300hz-procesor-intel-core-i9-10900k-20m-cache-up-to-530-ghz-32gb-ddr4-2x-1tb-ssd-geforce-rtx-2080-super-8gb-win-10--cb23af98318ab3be1ef011c8d8badd27.jpg 2x"
"1613204934-2340","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop ASUS Gaming 17.3'' ROG Zephyrus S17 GX701LWS, FHD 300Hz, Procesor Intel® Core™ i7-10875H (16M Cache, up to 5.10 GHz), 16GB DDR4, 1TB SSD, GeForce RTX 2070 SUPER 8GB, Win 10 Home, Black","12.498,99 RON","Stoc magazin limitat","7","https://www.pcgarage.ro/notebook-laptop/pagina7/filtre/placa-video-placa-video-dedicata/","Laptop ASUS Gaming 17.3'' ROG Zephyrus S17 GX701LWS, FHD 300Hz, Procesor Intel® Core™ i7-10875H (16M Cache, up to 5.10 GHz), 16GB DDR4, 1TB SSD, GeForce RTX 2070 SUPER 8GB, Win 10 Home, Black","https://www.pcgarage.ro/notebook-laptop/asus/gaming-173-rog-zephyrus-s17-gx701lws-fhd-300hz-procesor-intel-core-i7-10875h-16m-cache-up-to-510-ghz-16gb-ddr4-1tb-ssd-geforce-rtx-2070-super-8gb-win-10-home-black/","https://1.grgs.ro/images/products/1/2045418/2103942/thumbnails/gaming-173-rog-zephyrus-s17-gx701lxs-fhd-300hz-procesor-intel-core-i7-10875h-16m-cache-up-to-510-ghz-32gb-ddr4-1tb-ssd-geforce-rtx-2080-super-8gb-win--0651f592581eb33c198e508ca95bc787.jpg, https://4.grgs.ro/images/products/1/2045418/2103942/normal/gaming-173-rog-zephyrus-s17-gx701lxs-fhd-300hz-procesor-intel-core-i7-10875h-16m-cache-up-to-510-ghz-32gb-ddr4-1tb-ssd-geforce-rtx-2080-super-8gb-win--0651f592581eb33c198e508ca95bc787.jpg 2x"
"1613204807-743","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop HP Gaming 15.6'' OMEN X 2S 15-dg0005nq, FHD IPS 240Hz, Procesor Intel® Core™ i9-9880H (16M Cache, up to 4.80 GHz), 32GB DDR4, 1TB SSD, GeForce RTX 2080 8GB, Win 10 Home, Black","18.999,99 RON","Nu este in stoc","»","https://www.pcgarage.ro/notebook-laptop/pagina23/filtre/placa-video-placa-video-dedicata/","Laptop HP Gaming 15.6'' OMEN X 2S 15-dg0005nq, FHD IPS 240Hz, Procesor Intel® Core™ i9-9880H (16M Cache, up to 4.80 GHz), 32GB DDR4, 1TB SSD, GeForce RTX 2080 8GB, Win 10 Home, Black","https://www.pcgarage.ro/notebook-laptop/hp/gaming-156-omen-x-2s-15-dg0005nq-fhd-ips-240hz-procesor-intel-core-i9-9880h-16m-cache-up-to-480-ghz-32gb-ddr4-1tb-ssd-geforce-rtx-2080-8gb-win-10-home-black/","https://1.grgs.ro/images/products/1/6835/2005014/thumbnails/mwl_i9_9-1f9e738ee3c626f179544aabfcbd5c10.jpg, https://2.grgs.ro/images/products/1/6835/2005014/normal/mwl_i9_9-1f9e738ee3c626f179544aabfcbd5c10.jpg 2x"
"1613205148-4328","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop HP Gaming 15.6'' Pavilion 15-dk1045nq, FHD IPS, Procesor Intel® Core™ i7-10750H (12M Cache, up to 5.00 GHz), 16GB DDR4, 1TB SSD, GeForce RTX 2060 6GB, Free DOS, Black","5.998,99 RON","Stoc magazin suficient","5","https://www.pcgarage.ro/notebook-laptop/pagina5/filtre/placa-video-placa-video-dedicata/","Laptop HP Gaming 15.6'' Pavilion 15-dk1045nq, FHD IPS, Procesor Intel® Core™ i7-10750H (12M Cache, up to 5.00 GHz), 16GB DDR4, 1TB SSD, GeForce RTX 2060 6GB, Free DOS, Black","https://www.pcgarage.ro/notebook-laptop/hp/gaming-156-pavilion-15-dk1045nq-fhd-ips-procesor-intel-core-i7-10750h-12m-cache-up-to-500-ghz-16gb-ddr4-1tb-ssd-geforce-rtx-2060-6gb-free-dos-black/","https://3.grgs.ro/images/products/1/6835/2055922/thumbnails/gaming-156-pavilion-15-dk1045nq-fhd-ips-procesor-intel-core-i7-10750h-12m-cache-up-to-500-ghz-16gb-ddr4-1tb-ssd-geforce-rtx-2060-6gb-free-dos-black-6d106aef49287874902493a4d53e5420.jpg, https://4.grgs.ro/images/products/1/6835/2055922/normal/gaming-156-pavilion-15-dk1045nq-fhd-ips-procesor-intel-core-i7-10750h-12m-cache-up-to-500-ghz-16gb-ddr4-1tb-ssd-geforce-rtx-2060-6gb-free-dos-black-6d106aef49287874902493a4d53e5420.jpg 2x"
"1613205007-3181","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop HP 14'' Pavilion 14-ce3048nq, FHD, Procesor Intel® Core™ i7-1065G7 (8M Cache, up to 3.90 GHz), 8GB DDR4, 1TB SSD, GeForce MX250 4GB, Free DOS, Mineral Silver","4.799,00 RON","Nu este in stoc","15","https://www.pcgarage.ro/notebook-laptop/pagina15/filtre/placa-video-placa-video-dedicata/","Laptop HP 14'' Pavilion 14-ce3048nq, FHD, Procesor Intel® Core™ i7-1065G7 (8M Cache, up to 3.90 GHz), 8GB DDR4, 1TB SSD, GeForce MX250 4GB, Free DOS, Mineral Silver","https://www.pcgarage.ro/notebook-laptop/hp/14-pavilion-14-ce3048nq-fhd-procesor-intel-core-i7-1065g7-8m-cache-up-to-390-ghz-8gb-ddr4-1tb-ssd-geforce-mx250-4gb-free-dos-mineral-silver/","https://3.grgs.ro/images/products/1/1990366/2034778/thumbnails/14-pavilion-14-ce3048nq-fhd-procesor-intel-core-i7-1065g7-8m-cache-up-to-390-ghz-8gb-ddr4-1tb-ssd-geforce-mx250-4gb-free-dos-mineral-silver-7b55d4dd4989757a90cc1d9056482f6c.jpg, https://5.grgs.ro/images/products/1/1990366/2034778/normal/14-pavilion-14-ce3048nq-fhd-procesor-intel-core-i7-1065g7-8m-cache-up-to-390-ghz-8gb-ddr4-1tb-ssd-geforce-mx250-4gb-free-dos-mineral-silver-7b55d4dd4989757a90cc1d9056482f6c.jpg 2x"
"1613205042-3479","https://www.pcgarage.ro/notebook-laptop/filtre/placa-video-placa-video-dedicata/","Laptop HP Gaming 15.6'' Pavilion 15-ec0026nq, FHD, Procesor AMD Ryzen™ 7 3750H (4M Cache, up to 4.0 GHz), 16GB DDR4, 512GB SSD, GeForce GTX 1650 4GB, FreeDos, Shadow Black","4.099,99 RON","Nu este in stoc","17","https://www.pcgarage.ro/notebook-laptop/pagina17/filtre/placa-video-placa-video-dedicata/","Laptop HP Gaming 15.6'' Pavilion 15-ec0026nq, FHD, Procesor AMD Ryzen™ 7 3750H (4M Cache, up to 4.0 GHz), 16GB DDR4, 512GB SSD, GeForce GTX 1650 4GB, FreeDos, Shadow Black","https://www.pcgarage.ro/notebook-laptop/hp/gaming-156-pavilion-15-ec0026nq-fhd-procesor-amd-ryzen-7-3750h-4m-cache-up-to-40-ghz-16gb-ddr4-512gb-ssd-geforce-gtx-1650-4gb-freedos-shadow-black/","https://3.grgs.ro/images/products/1/1990366/1993230/thumbnails/gaming-156-pavilion-15-ec0026nq-fhd-procesor-amd-ryzen-7-3750h-4m-cache-up-to-40-ghz-16gb-ddr4-512gb-ssd-geforce-gtx-1650-4gb-freedos-shadow-black-7b8ae35982cbcfc1f325d6080e6589bd.jpg, https://5.grgs.ro/images/products/1/1990366/1993230/normal/gaming-156-pavilion-15-ec0026nq-fhd-procesor-amd-ryzen-7-3750h-4m-cache-up-to-40-ghz-16gb-ddr4-512gb-ssd-geforce-gtx-1650-4gb-freedos-shadow-black-7b8ae35982cbcfc1f325d6080e6589bd.jpg 2x"
